O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,Khushbaz Singh Jattana,Indian National Congress,1983,2496,1911,1875,2508,2029,2076,2305,1658,1834,1619,2311,1919,Punjab-Talwandi Sabo,Talwandi Sabo
2,Jeetmohinder Singh Sidhu,Shiromani Akali Dal,2460,2658,2890,2952,2607,2539,2757,2729,1979,2808,2200,2581,2197,Punjab-Talwandi Sabo,Talwandi Sabo
3,Prof. Baljinder Kaur,Aam Aadmi Party,4616,3434,3019,2768,3823,3913,4348,4233,3979,3927,3490,3769,3039,Punjab-Talwandi Sabo,Talwandi Sabo
4,Ravi Preet Singh Sidhu,Bharatiya Janata Party,141,207,413,704,432,177,156,340,394,525,253,364,237,Punjab-Talwandi Sabo,Talwandi Sabo
5,Master Tajinderpal Singh,Jan Asra Party,95,88,54,67,81,158,201,61,92,131,85,55,61,Punjab-Talwandi Sabo,Talwandi Sabo
6,Sukhjit Singh,Independent,80,45,38,21,77,56,41,103,79,72,67,112,36,Punjab-Talwandi Sabo,Talwandi Sabo
7,Sukhpreet Singh,Independent,8,5,4,8,7,9,13,12,5,4,6,7,11,Punjab-Talwandi Sabo,Talwandi Sabo
8,Harjinder Singh,Independent,36,22,17,13,42,25,28,27,11,31,19,23,18,Punjab-Talwandi Sabo,Talwandi Sabo
9,Harminder Singh Jassi,Independent,1621,1103,1008,1080,896,963,1519,713,620,749,905,577,821,Punjab-Talwandi Sabo,Talwandi Sabo
10,Kamaljeet Kaur,Independent,24,16,14,11,22,29,14,14,17,16,107,18,15,Punjab-Talwandi Sabo,Talwandi Sabo
11,Jagseer Singh,Independent,8,13,9,6,13,12,45,19,41,31,8,14,15,Punjab-Talwandi Sabo,Talwandi Sabo
12,Davinder Singh,Independent,14,15,14,12,10,13,16,38,24,21,37,21,11,Punjab-Talwandi Sabo,Talwandi Sabo
13,Baljinder Singh,Independent,23,35,15,11,28,17,27,39,25,27,29,41,28,Punjab-Talwandi Sabo,Talwandi Sabo
14,Balvan Singh,Independent,47,47,37,24,45,32,45,59,40,31,29,62,39,Punjab-Talwandi Sabo,Talwandi Sabo
15,Rampy Kaur,Independent,35,46,48,44,39,35,42,46,19,34,47,56,52,Punjab-Talwandi Sabo,Talwandi Sabo
16,NOTA,None of the Above,59,85,68,65,100,79,77,84,60,90,56,93,86,Punjab-Talwandi Sabo,Talwandi Sabo
