O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,state_city,constituency_from_link
1,Harmeet Singh Sandhu,Shiromani Akali Dal,2322,2406,2068,1798,2131,1577,2263,1912,1731,2462,2247,2180,2031,1672,2472,2392,2903,2516,149,Punjab-Tarn Taran,Tarn Taran
2,Dr. Kashmir Singh Sohal,Aam Aadmi Party,2213,2489,2355,2719,2688,2821,3360,2734,2963,3711,2529,3766,3322,2980,3052,3088,2517,2920,242,Punjab-Tarn Taran,Tarn Taran
3,Dr. Dharambir Agnihotri,Indian National Congress,1932,2328,1577,887,1863,1666,1819,1603,1033,1254,1583,1254,1239,1427,783,1040,1503,1378,291,Punjab-Tarn Taran,Tarn Taran
4,Navreet Singh Hundal,Bharatiya Janata Party,37,37,42,20,39,61,49,38,62,215,113,82,120,57,24,24,35,74,3,Punjab-Tarn Taran,Tarn Taran
5,Amrik SIngh Varpal,Lok Insaaf Party,14,34,22,8,11,29,51,43,5,32,13,7,14,13,10,12,20,17,0,Punjab-Tarn Taran,Tarn Taran
6,Amritpal Singh Mehron,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),358,264,190,261,489,465,302,492,471,336,265,311,294,306,382,415,333,391,14,Punjab-Tarn Taran,Tarn Taran
7,Harjinder Singh,Revolutionary Socialist Party,8,15,8,7,16,15,8,8,9,12,10,6,5,9,13,6,14,19,1,Punjab-Tarn Taran,Tarn Taran
8,Harjit Kaur,Punjab National Party,8,12,4,6,9,5,8,8,4,2,9,8,2,9,6,7,6,10,3,Punjab-Tarn Taran,Tarn Taran
9,Dharampal Singh,Nationalist Justice Party,22,13,11,10,14,11,13,23,9,11,11,8,13,11,9,18,13,12,2,Punjab-Tarn Taran,Tarn Taran
10,Dr. Sukhmandeep Singh Dhillon,Independent,117,89,175,83,72,74,77,48,77,45,50,26,40,38,55,43,81,106,3,Punjab-Tarn Taran,Tarn Taran
11,Malkiat Singh Gill,Independent,32,55,43,31,32,26,47,45,21,25,49,34,27,36,23,20,32,38,7,Punjab-Tarn Taran,Tarn Taran
12,Vijay Kumar,Independent,23,38,34,33,27,21,34,37,16,23,22,13,18,37,33,30,35,23,2,Punjab-Tarn Taran,Tarn Taran
13,NOTA,None of the Above,61,117,77,44,49,76,87,69,46,45,80,42,50,46,79,56,80,57,4,Punjab-Tarn Taran,Tarn Taran
