O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,Sangat Singh Gilzian,Indian National Congress,2129,1858,2417,2531,2844,2287,2006,2367,2799,2569,2500,2739,2364,2502,2411,1825,Punjab-Urmar,Urmar
2,Jasvir Singh Raja Gill,Aam Aadmi Party,2297,2131,3539,3662,3292,3023,3064,3259,3824,3174,2991,2329,2326,1422,1046,650,Punjab-Urmar,Urmar
3,Lakhwinder Singh,Bahujan Samaj Party,1023,1293,1060,1129,1336,1447,954,891,1182,1600,1417,1158,1832,2040,2805,1863,Punjab-Urmar,Urmar
4,Harjinder Singh,Nationalist Justice Party,48,48,28,28,29,21,32,31,25,27,26,39,62,45,64,33,Punjab-Urmar,Urmar
5,Kuldip Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),144,191,270,324,422,462,296,495,490,315,369,247,692,716,874,555,Punjab-Urmar,Urmar
6,Gurdial Singh,Bharatrashtra Democratic Party,24,29,19,20,15,15,32,26,21,24,21,17,35,23,30,27,Punjab-Urmar,Urmar
7,Manjit Singh,Shiromani Akali Dal (Sanyukt),1973,1276,904,541,673,488,416,456,819,679,660,347,615,282,354,427,Punjab-Urmar,Urmar
8,Arashdeep Singh,Independent,44,31,42,41,67,41,54,44,62,35,58,82,62,61,60,38,Punjab-Urmar,Urmar
9,Baljit Singh,Independent,37,24,32,37,33,39,23,20,44,31,26,21,33,90,26,10,Punjab-Urmar,Urmar
10,NOTA,None of the Above,43,35,61,59,71,53,43,58,62,52,64,71,55,54,63,31,Punjab-Urmar,Urmar
