O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,state_city,constituency_from_link
1,Avtar Singh Zira,Bharatiya Janata Party,142,137,297,250,92,99,61,114,56,127,111,45,104,82,92,132,40,Punjab-Zira,Zira
2,KULBIR SINGH ZIRA,Indian National Congress,2432,2513,2519,2172,2371,2581,2242,3001,2231,2591,2573,1795,2478,2713,2424,2371,1535,Punjab-Zira,Zira
3,Janmeja Singh Sekhon,Shiromani Akali Dal,2147,1708,1930,2232,2801,2873,2582,3550,3107,2676,2439,2423,2810,2513,2091,2027,1291,Punjab-Zira,Zira
4,Naresh Kataria,Aam Aadmi Party,3960,4627,4848,3776,3048,3824,3407,3348,3623,4186,4033,3571,3600,4178,4105,3693,1882,Punjab-Zira,Zira
5,Sukhwinder Singh,Nationalist Justice Party,14,21,26,12,23,37,10,13,23,20,14,15,24,13,23,18,17,Punjab-Zira,Zira
6,Priyanka Rani,Insaniyat Lok Vikas Party,4,9,16,5,7,9,7,5,5,7,8,6,5,9,9,7,6,Punjab-Zira,Zira
7,Amandeep Singh,Independent,5,14,10,5,6,12,11,7,7,4,7,3,2,7,6,7,7,Punjab-Zira,Zira
8,KAMALJIT SINGH,Independent,12,11,20,5,13,15,9,9,15,17,13,8,4,11,18,14,9,Punjab-Zira,Zira
9,Kulbir Singh,Independent,15,17,16,7,25,27,38,19,17,21,18,13,11,34,18,33,9,Punjab-Zira,Zira
10,Naresh Kumar,Independent,49,53,51,33,43,58,50,53,38,52,60,45,49,44,48,36,29,Punjab-Zira,Zira
11,Megh Raj,Independent,59,32,110,29,21,63,43,32,14,85,52,31,40,41,30,20,14,Punjab-Zira,Zira
12,NOTA,None of the Above,67,33,48,29,26,45,54,45,42,39,44,32,26,39,48,38,19,Punjab-Zira,Zira
