O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,Adesh Chauhan,Bharatiya Janata Party,3569,4071,2043,4072,4784,5576,4171,4049,3336,4842,2951,3407,3324,4457,2236,Uttarakhand-B.H.E.L. Ranipur,B.H.E.L. Ranipur
2,Ompal Singh,Bahujan Samaj Party,38,32,125,69,208,177,153,338,340,180,668,1440,1019,876,183,Uttarakhand-B.H.E.L. Ranipur,B.H.E.L. Ranipur
3,Ramesh Chand Dhiman,Communist Party of India (Marxist),12,13,21,9,12,17,13,22,13,16,6,16,23,12,8,Uttarakhand-B.H.E.L. Ranipur,B.H.E.L. Ranipur
4,Rajbir Singh Chauhan,Indian National Congress,4431,4421,5077,3371,1880,1800,1735,2479,2192,1897,2788,2300,4457,2344,1602,Uttarakhand-B.H.E.L. Ranipur,B.H.E.L. Ranipur
5,Irfan Ali,Bharatiya Jan Jagriti Party,17,14,21,14,5,6,7,15,6,4,10,18,18,20,12,Uttarakhand-B.H.E.L. Ranipur,B.H.E.L. Ranipur
6,Ishant Kumar,Samajwadi Party,7,12,14,7,8,7,7,19,10,8,10,60,22,13,8,Uttarakhand-B.H.E.L. Ranipur,B.H.E.L. Ranipur
7,Praveen Surya,Aazad Samaj Party (Kanshi Ram),13,9,149,11,22,19,27,51,21,49,85,236,123,399,264,Uttarakhand-B.H.E.L. Ranipur,B.H.E.L. Ranipur
8,Prashant Rai,Aam Aadmi Party,105,140,305,156,176,195,282,435,485,373,62,189,139,132,110,Uttarakhand-B.H.E.L. Ranipur,B.H.E.L. Ranipur
9,Sandesh Sharma,Nyaydharmsabha,7,9,9,10,36,6,1,11,6,5,8,9,11,7,9,Uttarakhand-B.H.E.L. Ranipur,B.H.E.L. Ranipur
10,Ajay,Independent,18,15,18,18,1,5,3,13,5,4,8,26,11,13,6,Uttarakhand-B.H.E.L. Ranipur,B.H.E.L. Ranipur
11,Pankaj Kumar,Independent,5,7,3,4,3,2,5,6,7,3,9,9,20,13,3,Uttarakhand-B.H.E.L. Ranipur,B.H.E.L. Ranipur
12,Moh Mursleen Qureshi,Independent,7,8,6,17,2,2,1,12,7,3,6,10,14,4,5,Uttarakhand-B.H.E.L. Ranipur,B.H.E.L. Ranipur
13,NOTA,None of the Above,50,42,33,37,35,44,49,53,46,57,19,31,46,38,32,Uttarakhand-B.H.E.L. Ranipur,B.H.E.L. Ranipur
