O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,Mahendra Bhatt,Bharatiya Janata Party,2308,2634,1690,2208,2642,2520,2439,1887,1720,1752,1757,1629,2056,1720,429,Uttarakhand-Badrinath,Badrinath
2,Mukesh Lal Koshwal,Bahujan Samaj Party,55,48,19,33,35,32,34,34,29,32,30,52,46,37,5,Uttarakhand-Badrinath,Badrinath
3,Rajendra Singh Bhandari,Indian National Congress,2220,2352,1519,2471,2673,2327,2718,2049,2188,1902,2114,1915,2051,2522,417,Uttarakhand-Badrinath,Badrinath
4,Vinod Joshi,Communist Party of India,55,69,42,37,84,66,79,47,70,55,40,53,49,32,13,Uttarakhand-Badrinath,Badrinath
5,Pushkar Lal Baichhwal,Peoples Party of India (Democratic),6,23,18,19,67,36,58,35,18,8,11,5,22,27,0,Uttarakhand-Badrinath,Badrinath
6,Beeru Sajwan,Uttarakhand Kranti Dal,14,32,13,16,63,30,41,49,23,11,6,4,11,10,3,Uttarakhand-Badrinath,Badrinath
7,Bhagwati Prasad Mandoli,Aam Aadmi Party,70,151,54,85,47,90,67,54,35,48,44,22,26,19,0,Uttarakhand-Badrinath,Badrinath
8,Dheerendra Pal Singh,Independent,1,12,4,14,27,52,26,9,5,6,5,6,75,10,8,Uttarakhand-Badrinath,Badrinath
9,Mukund Singh,Independent,9,7,5,26,10,14,8,20,47,7,12,6,10,19,2,Uttarakhand-Badrinath,Badrinath
10,Shailendra Prakash Singh,Independent,23,14,26,36,44,43,39,28,43,27,40,32,35,41,7,Uttarakhand-Badrinath,Badrinath
11,Sunil Che,Independent,10,10,12,15,18,21,11,8,15,14,9,14,6,5,1,Uttarakhand-Badrinath,Badrinath
12,NOTA,None of the Above,65,47,42,61,87,90,47,55,67,64,36,59,56,45,15,Uttarakhand-Badrinath,Badrinath
