O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,KESHAR SINGH,Indian National Congress,783,1354,1363,1191,1091,966,888,1089,1196,968,867,975,281,298,Uttarakhand-Chaubattakhal,Chaubattakhal
2,SATPAL MAHARAJ,Bharatiya Janata Party,1336,2362,2034,1947,2056,1444,1652,2169,1941,2058,1416,2057,692,627,Uttarakhand-Chaubattakhal,Chaubattakhal
3,ANU PANT,Uttarakhand Kranti Dal (Democratic),5,62,32,21,20,16,11,24,22,25,19,32,7,8,Uttarakhand-Chaubattakhal,Chaubattakhal
4,JAY PARKASH,Samajwadi Party,7,11,33,13,1,7,7,2,6,6,6,4,0,4,Uttarakhand-Chaubattakhal,Chaubattakhal
5,DIGMOHAN NEGI,Aam Aadmi Party,136,111,101,129,152,143,164,193,269,113,39,215,40,36,Uttarakhand-Chaubattakhal,Chaubattakhal
6,VIRENDRA SINGH RAWAT,Uttarakhand Kranti Dal(P),58,9,10,9,10,5,6,13,16,8,13,9,2,5,Uttarakhand-Chaubattakhal,Chaubattakhal
7,SHEKHAR SINGH,Uttarakhand Raksha Morcha,3,9,4,5,8,11,8,18,41,5,5,6,2,0,Uttarakhand-Chaubattakhal,Chaubattakhal
8,ARUN KUMAR,Independent,3,13,6,15,7,3,8,12,12,26,84,48,15,5,Uttarakhand-Chaubattakhal,Chaubattakhal
9,ASHWANI GUSAIN,Independent,14,52,31,40,40,22,20,47,17,63,39,93,33,20,Uttarakhand-Chaubattakhal,Chaubattakhal
10,NOTA,None of the Above,34,57,51,50,39,41,39,61,48,53,42,51,11,10,Uttarakhand-Chaubattakhal,Chaubattakhal
