O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,state_city,constituency_from_link
1,Jaspal Singh,Bahujan Samaj Party,33,53,19,22,81,25,44,16,21,44,57,Uttarakhand-Dehradun Cantt.,Dehradun Cantt.
2,Savita Kapoor,Bharatiya Janata Party,4467,4268,4215,4235,4096,3782,3716,4079,3586,4523,4091,Uttarakhand-Dehradun Cantt.,Dehradun Cantt.
3,Suryakant Dhasmana,Indian National Congress,2239,2298,1979,1465,2507,2166,2124,2032,2011,2411,3014,Uttarakhand-Dehradun Cantt.,Dehradun Cantt.
4,Anirudh Kala,Uttarakhand Kranti Dal,49,70,91,86,29,69,168,58,41,76,63,Uttarakhand-Dehradun Cantt.,Dehradun Cantt.
5,Dr. R K Pathak,Samajwadi Party,11,17,11,13,13,13,18,10,10,12,5,Uttarakhand-Dehradun Cantt.,Dehradun Cantt.
6,Ravinder Singh Anand,Aam Aadmi Party,289,159,264,259,384,239,357,257,279,315,431,Uttarakhand-Dehradun Cantt.,Dehradun Cantt.
7,Vinod Aswal,Rashtriya Uttarakhand Party,8,5,4,0,8,9,6,13,5,6,7,Uttarakhand-Dehradun Cantt.,Dehradun Cantt.
8,Mohd. Salim,Peace Party,10,20,10,3,13,15,31,9,25,20,23,Uttarakhand-Dehradun Cantt.,Dehradun Cantt.
9,Geeta Chandola,Independent,6,8,5,9,3,1,13,5,6,11,7,Uttarakhand-Dehradun Cantt.,Dehradun Cantt.
10,Dinesh Rawat,Independent,41,155,156,239,68,89,90,38,64,65,38,Uttarakhand-Dehradun Cantt.,Dehradun Cantt.
11,Nanda Kishor Semwal,Independent,2,18,3,6,12,10,8,5,8,14,22,Uttarakhand-Dehradun Cantt.,Dehradun Cantt.
12,Sachin Chhetri,Independent,11,16,8,1,10,10,6,3,4,13,17,Uttarakhand-Dehradun Cantt.,Dehradun Cantt.
13,NOTA,None of the Above,69,50,68,51,39,42,48,58,56,57,59,Uttarakhand-Dehradun Cantt.,Dehradun Cantt.
