O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,state_city,constituency_from_link
1,DINESH AGARWAL,Indian National Congress,4072,3602,2000,2836,3317,3935,2915,2633,2046,2292,1730,1730,2627,3340,2239,2907,3245,140,Uttarakhand-Dharampur,Dharampur
2,LALIT THAPA,Bahujan Samaj Party,19,58,44,79,20,37,73,53,38,18,43,37,37,21,39,43,23,4,Uttarakhand-Dharampur,Dharampur
3,VINOD CHAMOLI,Bharatiya Janata Party,3288,3248,3918,3317,2857,2836,3182,3562,3302,3099,3607,4338,3162,3250,3781,3285,3337,392,Uttarakhand-Dharampur,Dharampur
4,KIRAN RAWAT KASHYAP,Uttarakhand Kranti Dal,23,35,24,18,11,23,11,38,25,20,15,42,19,37,43,41,19,1,Uttarakhand-Dharampur,Dharampur
5,DEEPAK,Peoples Party of India (Democratic),5,5,6,7,1,5,4,8,4,5,6,2,3,9,0,9,4,1,Uttarakhand-Dharampur,Dharampur
6,MOHD NASEER,Bharatiya Samajwadi party (Loktantrik),17,25,1,8,6,9,4,4,2,5,13,9,5,11,4,3,5,1,Uttarakhand-Dharampur,Dharampur
7,BALBIR KUMAR TALWAR,Bharatiya Jan Jagriti Party,5,1,4,10,14,1,4,7,1,5,1,0,4,1,2,4,1,0,Uttarakhand-Dharampur,Dharampur
8,ADVOCATE BRIJ BHUSHAN KARANWAL,Rashtriya Samaj Dal (R),3,2,3,3,1,0,2,4,1,2,0,2,3,4,2,6,7,0,Uttarakhand-Dharampur,Dharampur
9,MOHAR SINGH KATARIA,Rashtriya Adarsh Party,0,4,12,2,6,1,10,5,6,4,6,1,5,3,1,7,5,0,Uttarakhand-Dharampur,Dharampur
10,YOGENDRA CHAUHAN,Aam Aadmi Party,187,141,222,99,191,187,161,180,139,154,221,274,161,171,225,225,172,18,Uttarakhand-Dharampur,Dharampur
11,RAJENDRA SINGH NEGI,Sainik Samaj Party,7,2,1,1,1,0,2,3,3,8,2,8,3,1,3,1,1,0,Uttarakhand-Dharampur,Dharampur
12,SARDAR KHAN PAPPU,Rashtriya Lok Dal,2,1,3,4,2,2,5,2,3,5,3,1,5,2,3,3,4,0,Uttarakhand-Dharampur,Dharampur
13,SUNDARLAL THAPLIYAL,Independent,9,5,2,4,1,1,2,5,2,17,6,3,1,6,13,14,6,1,Uttarakhand-Dharampur,Dharampur
14,GULBAHAR,Independent,12,3,2,8,5,4,7,9,5,3,8,3,3,7,8,8,12,0,Uttarakhand-Dharampur,Dharampur
15,JAVED KHAN,Independent,37,11,1,10,26,16,53,15,8,36,12,27,76,87,7,12,15,0,Uttarakhand-Dharampur,Dharampur
16,NARESH CHANDRA BOUNTHIYAL,Independent,28,49,9,22,13,9,18,25,32,12,31,16,10,30,26,40,8,0,Uttarakhand-Dharampur,Dharampur
17,BEER SINGH PANWAR,Independent,214,87,29,56,71,128,115,172,1068,1032,93,401,213,218,570,220,462,4,Uttarakhand-Dharampur,Dharampur
18,RAJENDRA PRASAD GAIROLA,Independent,4,3,0,3,4,5,0,1,6,4,10,6,5,4,3,10,7,0,Uttarakhand-Dharampur,Dharampur
19,SARDAR HARKISHAN SINGH BAWA,Independent,15,29,11,7,4,10,6,7,10,4,11,6,8,5,19,3,9,0,Uttarakhand-Dharampur,Dharampur
20,NOTA,None of the Above,29,31,37,15,24,15,20,28,31,37,33,35,22,35,62,31,28,1,Uttarakhand-Dharampur,Dharampur
