O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,GAURAV (GINNI),Indian National Congress,2264,1530,1365,1552,2286,2354,1370,1911,2837,4453,3419,5773,2622,1531,Uttarakhand-Doiwala,Doiwala
2,BRIJ BHUSHAN GAIROLA,Bharatiya Janata Party,4624,5304,5590,4619,4668,5682,3551,5716,4905,4420,4761,2765,4534,3019,Uttarakhand-Doiwala,Doiwala
3,VINOD KUMAR,Bahujan Samaj Party,36,31,56,25,42,29,24,30,60,39,90,64,46,18,Uttarakhand-Doiwala,Doiwala
4,AJAY KUMAR KAUSHIK,Right to Recall Party,14,7,7,13,14,7,3,3,5,6,8,7,8,7,Uttarakhand-Doiwala,Doiwala
5,ANURAG KUKRETI,Samajwadi Party,6,24,6,8,15,5,10,8,5,21,9,10,8,5,Uttarakhand-Doiwala,Doiwala
6,PRATEEK BAHUGUNA,UTTARAKHAND PARIVARTAN PARTY,6,2,9,6,4,16,47,15,13,8,1,8,20,9,Uttarakhand-Doiwala,Doiwala
7,RAJKISHORE SINGH RAWAT,Uttarakhand Kranti Dal (Democratic),6,6,3,9,32,3,2,10,6,6,10,5,8,3,Uttarakhand-Doiwala,Doiwala
8,RAJU MAURYA 'KETAN',Aam Aadmi Party,217,320,244,250,278,274,96,130,387,338,238,360,134,86,Uttarakhand-Doiwala,Doiwala
9,SHIV PRASAD SEMWAL,Uttarakhand Kranti Dal,87,146,313,162,79,213,191,98,238,87,102,50,39,29,Uttarakhand-Doiwala,Doiwala
10,JITENDRA SINGH NEGI,Independent,484,235,760,1253,413,370,238,175,108,62,76,106,308,145,Uttarakhand-Doiwala,Doiwala
11,TRIBIRENDRA SINGH RAWAT (TRIVENDRA),Independent,5,8,8,12,18,17,8,13,21,17,13,15,11,3,Uttarakhand-Doiwala,Doiwala
12,SANTOSH DIXIT,Independent,18,17,15,18,16,18,23,28,24,17,39,22,21,9,Uttarakhand-Doiwala,Doiwala
13,NOTA,None of the Above,67,99,73,85,72,87,33,69,61,75,79,68,68,28,Uttarakhand-Doiwala,Doiwala
