O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,ANIL SINGH SHAHI,Bharatiya Janata Party,1777,1608,1682,1662,1411,1426,1335,1301,1244,828,1308,1218,300,Uttarakhand-Dwarahat,Dwarahat
2,ANAND BALLABH,Bahujan Samaj Party,55,34,33,35,29,29,23,21,19,12,20,29,3,Uttarakhand-Dwarahat,Dwarahat
3,MADAN SINGH BISHT,Indian National Congress,1201,1282,1532,1475,1100,1849,1946,1893,1669,968,1337,944,270,Uttarakhand-Dwarahat,Dwarahat
4,GANESH CHANDRA,Samajwadi Party,28,40,36,27,26,29,33,30,23,14,21,14,5,Uttarakhand-Dwarahat,Dwarahat
5,PUSHPESH TRIPATHI,Uttarakhand Kranti Dal,790,807,957,825,691,463,1615,795,705,747,533,566,144,Uttarakhand-Dwarahat,Dwarahat
6,PRAKASH CHANDRA,Aam Aadmi Party,35,32,83,97,49,25,40,21,36,26,18,21,6,Uttarakhand-Dwarahat,Dwarahat
7,Dr. PRAMOD KUMAR,Peoples Party of India (Democratic),25,32,35,31,54,21,83,41,32,19,21,19,9,Uttarakhand-Dwarahat,Dwarahat
8,NAVEEN CHANDRA JOSHI,Independent,13,8,16,12,14,20,23,16,38,14,18,10,4,Uttarakhand-Dwarahat,Dwarahat
9,BHUPAL SINGH ALIAS PAPPU BHANDARI,Independent,32,26,45,31,33,65,64,127,552,34,82,40,6,Uttarakhand-Dwarahat,Dwarahat
10,RAJENDRA SINGH,Independent,12,7,10,15,10,21,22,11,25,13,20,11,2,Uttarakhand-Dwarahat,Dwarahat
11,NOTA,None of the Above,63,44,94,62,47,65,73,69,79,47,80,52,12,Uttarakhand-Dwarahat,Dwarahat
