O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,JITENDRA SINGH,Bahujan Samaj Party,19,68,29,36,73,42,35,192,29,28,25,95,59,7,Uttarakhand-Haldwani,Haldwani
2,DR. JOGENDER PAL SINGH RAUTELA,Bharatiya Janata Party,3500,4142,4273,3891,2767,3834,3171,2177,189,606,4068,3935,4490,866,Uttarakhand-Haldwani,Haldwani
3,SUMIT HRIDAYESH,Indian National Congress,2448,2426,2280,3515,3843,3117,3723,3840,7806,6939,2609,3640,2719,822,Uttarakhand-Haldwani,Haldwani
4,ANIL KUMAR SINGH,Jan Ekta Party,15,14,4,17,30,15,12,11,36,35,18,20,16,1,Uttarakhand-Haldwani,Haldwani
5,ABDUL MATEEN SIDDIQUI,All India Majlis-E-Ittehadul Muslimeen,10,4,5,34,114,43,46,101,320,171,28,6,7,19,Uttarakhand-Haldwani,Haldwani
6,MAHIPAL SINGH,Janta Brigade Party,1,4,6,6,4,3,3,3,11,4,1,9,3,1,Uttarakhand-Haldwani,Haldwani
7,RAVI VALMIKI,Uttarakhand Kranti Dal(P),1,9,31,5,8,4,8,6,12,8,8,3,9,0,Uttarakhand-Haldwani,Haldwani
8,SHOEB AHMED,Samajwadi Party,28,31,6,63,239,297,129,169,672,431,83,8,13,25,Uttarakhand-Haldwani,Haldwani
9,SAMIT TIKKOO,Aam Aadmi Party,82,241,201,154,104,148,74,83,58,43,142,230,133,55,Uttarakhand-Haldwani,Haldwani
10,UMESH CHANDRA JOSHI,Independent,17,8,12,23,19,28,19,19,52,41,10,19,20,2,Uttarakhand-Haldwani,Haldwani
11,DIVYANSHU VERMA,Independent,4,17,3,4,14,10,14,7,5,12,5,13,10,1,Uttarakhand-Haldwani,Haldwani
12,PRASHANT KUMAR NEGI,Independent,18,14,6,22,25,16,13,11,24,29,15,40,29,7,Uttarakhand-Haldwani,Haldwani
13,RAJENDRA KUMAR GUPTA,Independent,14,9,12,19,13,15,14,5,10,10,9,20,20,7,Uttarakhand-Haldwani,Haldwani
14,NOTA,None of the Above,35,33,62,31,44,46,28,27,23,33,72,64,53,8,Uttarakhand-Haldwani,Haldwani
