O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,state_city,constituency_from_link
1,AJAY AGARWAL,Bahujan Samaj Party,616,411,588,255,159,139,248,316,1466,565,253,0,Uttarakhand-Jaspur,Jaspur
2,ADESH SINGH CHAUHAN,Indian National Congress,3896,4194,3135,4665,5293,5811,3781,3655,2823,2539,2656,0,Uttarakhand-Jaspur,Jaspur
3,Dr. SHAILENDRA MOHAN SINGHAL,Bharatiya Janata Party,4751,4001,3383,2954,3175,2292,5010,4468,2199,4660,1467,0,Uttarakhand-Jaspur,Jaspur
4,Jameel Ahamad Mansoori,Samajwadi Party,44,49,25,20,20,16,29,35,41,50,33,0,Uttarakhand-Jaspur,Jaspur
5,NAFEES AZAD,Bharatiya Jan Jagriti Party,17,20,7,6,5,10,18,16,27,18,16,0,Uttarakhand-Jaspur,Jaspur
6,Mohd Yoonus Chaudhari,Aam Aadmi Party,302,958,295,457,401,551,337,323,3706,1328,775,0,Uttarakhand-Jaspur,Jaspur
7,ANITA AGARWAL,Independent,14,13,2,4,3,6,10,12,23,17,4,0,Uttarakhand-Jaspur,Jaspur
8,LALMAN SINGH,Independent,18,20,16,6,12,9,18,18,31,32,13,0,Uttarakhand-Jaspur,Jaspur
9,SALEEM AHMAD,Independent,30,30,13,10,14,14,39,26,23,39,7,0,Uttarakhand-Jaspur,Jaspur
10,SANJAY DUTT,Independent,26,25,18,11,8,20,35,31,15,19,21,0,Uttarakhand-Jaspur,Jaspur
11,NOTA,None of the Above,49,49,40,29,37,38,40,40,70,53,31,0,Uttarakhand-Jaspur,Jaspur
