O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,BANSHIDHAR BHAGAT,Bharatiya Janata Party,3310,3916,2686,5331,3181,4315,4986,5600,4445,4686,4057,4513,4564,4191,4512,2743,Uttarakhand-Kaladhungi,Kaladhungi
2,MAHESH CHANDRA,Indian National Congress,3762,3617,5207,3424,2428,2007,2655,2028,1751,2819,2840,1922,2516,2188,2472,1343,Uttarakhand-Kaladhungi,Kaladhungi
3,SUNDER LAL ARYA,Bahujan Samaj Party,139,188,269,157,134,39,78,32,14,65,79,47,62,58,26,21,Uttarakhand-Kaladhungi,Kaladhungi
4,PRAKASH CHANDRA,UTTARAKHAND PARIVARTAN PARTY,10,15,14,12,1,5,34,8,3,9,5,9,10,5,5,2,Uttarakhand-Kaladhungi,Kaladhungi
5,MOHAN KANDPAL,Uttarakhand Kranti Dal,24,16,35,41,19,26,20,13,9,17,14,22,27,31,33,6,Uttarakhand-Kaladhungi,Kaladhungi
6,MANJU TIWARI,Aam Aadmi Party,59,44,67,68,88,158,144,153,130,118,137,130,157,169,136,46,Uttarakhand-Kaladhungi,Kaladhungi
7,RAJENDRA KUMAR WALIYA,Samajwadi Party,5,11,12,14,4,6,16,8,7,4,6,5,8,8,5,5,Uttarakhand-Kaladhungi,Kaladhungi
8,CHANDRA SHEKHAR TEWARI,Independent,8,10,8,4,3,4,7,2,8,7,7,5,9,4,7,2,Uttarakhand-Kaladhungi,Kaladhungi
9,JAGAT SINGH RAWAT,Independent,39,101,16,10,15,5,8,6,6,10,12,9,11,8,3,0,Uttarakhand-Kaladhungi,Kaladhungi
10,BHAGWAN SINGH,Independent,20,22,146,75,18,9,9,5,2,10,16,10,11,13,14,5,Uttarakhand-Kaladhungi,Kaladhungi
11,SUMAN LATA,Independent,38,45,56,40,27,25,28,22,25,30,32,11,24,23,25,17,Uttarakhand-Kaladhungi,Kaladhungi
12,NOTA,None of the Above,81,100,83,131,88,91,74,97,82,78,90,87,119,89,76,52,Uttarakhand-Kaladhungi,Kaladhungi
