O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,KUNWARANI DEVYANI SINGH,Bharatiya Janata Party,1297,2572,2248,2363,2659,1452,2047,2197,2396,1997,2500,4595,2265,Uttarakhand-Khanpur,Khanpur
2,RAVINDRA SINGH,Bahujan Samaj Party,1669,2765,3234,2139,3169,1641,3244,2934,2448,3083,2538,1013,1845,Uttarakhand-Khanpur,Khanpur
3,SUBHASH SINGH CHOUDHARY,Indian National Congress,69,133,198,338,169,586,407,840,846,954,778,446,475,Uttarakhand-Khanpur,Khanpur
4,DIDAR SINGH,Samajwadi Party,24,9,22,22,18,31,16,23,18,20,15,18,21,Uttarakhand-Khanpur,Khanpur
5,MANORMA TYAGI,Aam Aadmi Party,107,32,53,47,36,42,83,46,87,41,62,86,76,Uttarakhand-Khanpur,Khanpur
6,Munesh Kumar,Rashtrawadi Janlok Party (Satya),211,66,94,97,439,72,16,14,10,8,9,6,12,Uttarakhand-Khanpur,Khanpur
7,SHAMEM,Aazad Samaj Party (Kanshi Ram),42,87,141,49,181,97,153,263,257,299,123,259,127,Uttarakhand-Khanpur,Khanpur
8,UMESH KUMAR,Independent,4530,2541,2967,3894,2526,3504,3806,3580,2426,2518,2700,1380,2268,Uttarakhand-Khanpur,Khanpur
9,NEELU CHOUDHARY,Independent,71,47,61,65,58,56,49,38,32,39,47,23,32,Uttarakhand-Khanpur,Khanpur
10,RAJESH WALIA,Independent,24,24,15,17,32,15,23,8,20,29,23,13,23,Uttarakhand-Khanpur,Khanpur
11,NOTA,None of the Above,37,34,33,55,31,28,40,36,51,46,49,50,50,Uttarakhand-Khanpur,Khanpur
