O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,state_city,constituency_from_link
1,Ritu Khanduri Bhushan,Bharatiya Janata Party,3342,3550,4232,3592,3335,2234,1653,2182,3165,3474,696,Uttarakhand-Kotdwar,Kotdwar
2,Vikas Kumar,Bahujan Samaj Party,44,46,77,37,56,25,50,118,50,45,16,Uttarakhand-Kotdwar,Kotdwar
3,Surendra Singh Negi,Indian National Congress,2421,2011,2265,2329,3100,4361,1972,3753,2791,2234,732,Uttarakhand-Kotdwar,Kotdwar
4,Arvind Kumar,Aam Aadmi Party,154,160,156,301,266,262,206,166,163,99,27,Uttarakhand-Kotdwar,Kotdwar
5,Akash Negi,Right to Recall Party,3,4,7,3,10,10,7,13,10,11,3,Uttarakhand-Kotdwar,Kotdwar
6,(Captain Re.) Mukesh Kumar Rawat,Uttarakhand Kranti Dal,28,27,12,8,9,13,5,26,30,14,1,Uttarakhand-Kotdwar,Kotdwar
7,Rohit Dandriyal,Uttarakhand Kranti Dal (Democratic),53,18,27,10,13,12,9,10,5,6,4,Uttarakhand-Kotdwar,Kotdwar
8,Satish Chandra,Bahujan Mukti Party,13,5,7,6,10,9,11,28,16,10,2,Uttarakhand-Kotdwar,Kotdwar
9,Dherandra Singh Chauhan,Independent,1516,1194,1334,890,935,860,1004,1532,1590,1173,359,Uttarakhand-Kotdwar,Kotdwar
10,Mahima Chaudhary,Independent,28,11,31,24,27,65,34,61,54,25,2,Uttarakhand-Kotdwar,Kotdwar
11,Sunil Bahukhandi,Independent,16,18,33,9,19,12,14,21,42,25,5,Uttarakhand-Kotdwar,Kotdwar
12,NOTA,None of the Above,38,52,64,38,39,38,33,63,66,54,10,Uttarakhand-Kotdwar,Kotdwar
