O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,state_city,constituency_from_link
1,Antriksh Saini,Indian National Congress,622,220,353,416,368,508,760,893,949,1158,917,1215,534,483,972,708,317,102,Uttarakhand-Laksar,Laksar
2,Shahzad,Bahujan Samaj Party,3037,2872,2342,488,823,2536,2430,1994,937,1932,3026,1127,1333,1424,1638,2657,2695,1487,Uttarakhand-Laksar,Laksar
3,Sanjay Gupta,Bharatiya Janata Party,943,1273,865,1963,1802,1299,1568,1176,1607,1526,961,1387,2361,1938,1362,1247,996,84,Uttarakhand-Laksar,Laksar
4,Ajay,Rashtrawadi Janlok Party (Satya),22,102,101,421,415,247,69,399,980,48,60,133,206,405,352,126,19,8,Uttarakhand-Laksar,Laksar
5,Haji Tasleem Ahmad,Aazad Samaj Party (Kanshi Ram),31,18,47,9,7,28,32,31,67,6,111,15,54,54,51,513,1709,1367,Uttarakhand-Laksar,Laksar
6,Dr. Bhagwan Dass Rathor,Samajwadi Party,6,6,9,7,11,14,1,8,8,24,6,4,5,9,11,12,15,11,Uttarakhand-Laksar,Laksar
7,Mohd Yusuf,Aam Aadmi Party,16,36,326,21,21,20,24,52,23,9,35,27,17,22,29,94,28,12,Uttarakhand-Laksar,Laksar
8,Dhramraj,Independent,1,4,13,1,1,4,3,13,69,3,4,5,11,20,9,5,4,13,Uttarakhand-Laksar,Laksar
9,Mursleen,Independent,7,4,9,3,3,3,5,3,11,6,8,6,4,6,7,4,6,0,Uttarakhand-Laksar,Laksar
10,Mehar Singh,Independent,8,5,9,3,8,9,5,25,26,5,4,91,20,55,93,23,5,3,Uttarakhand-Laksar,Laksar
11,Reenu Kashyap,Independent,26,33,25,2,9,34,16,17,18,28,35,21,18,25,19,31,22,23,Uttarakhand-Laksar,Laksar
12,NOTA,None of the Above,15,17,13,23,12,11,8,19,22,21,14,17,13,17,18,23,21,11,Uttarakhand-Laksar,Laksar
