O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,state_city,constituency_from_link
1,Dinesh Singh Pawar,Bharatiya Janata Party,83,21,548,127,193,1357,534,1381,507,314,1653,1837,2161,1349,1265,1109,1429,1911,833,Uttarakhand-Manglaur,Manglaur
2,Qazi Mohammad Nizamuddin,Indian National Congress,2443,1893,1793,2375,2154,1203,2196,1780,2559,2466,1822,1214,838,862,973,1175,1159,1095,1816,Uttarakhand-Manglaur,Manglaur
3,Sarwat Kareem Ansari,Bahujan Samaj Party,2456,3088,1833,2227,2394,1572,1790,1340,1543,1913,1212,2076,1366,1408,966,873,1597,1290,1623,Uttarakhand-Manglaur,Manglaur
4,Navneet Kumar (Guddu Bhaiya),Aam Aadmi Party,12,12,9,24,9,16,33,197,33,12,9,120,119,294,443,941,173,42,30,Uttarakhand-Manglaur,Manglaur
5,Qazi Mohd Monis,Aazad Samaj Party (Kanshi Ram),36,13,19,50,25,25,38,22,64,18,51,65,57,70,62,37,47,34,47,Uttarakhand-Manglaur,Manglaur
6,Vijendra Singh,Rashtriya Lok Dal,3,5,1,1,3,0,21,25,4,3,5,24,21,22,28,20,26,6,3,Uttarakhand-Manglaur,Manglaur
7,Sharad Pandey,Samajwadi Party,6,1,3,2,1,5,4,5,1,9,5,3,3,6,3,9,4,5,2,Uttarakhand-Manglaur,Manglaur
8,Anik Ahmed,Independent,2,1,1,1,1,1,4,7,3,1,4,8,7,6,5,7,4,3,1,Uttarakhand-Manglaur,Manglaur
9,Ubedur Rehaman,Independent,4,0,2,2,4,1,3,4,8,4,3,4,4,4,7,8,8,5,4,Uttarakhand-Manglaur,Manglaur
10,Rajveer Singh,Independent,11,6,7,7,5,6,9,10,4,11,4,13,9,10,6,11,10,7,12,Uttarakhand-Manglaur,Manglaur
11,Satish Kumar,Independent,8,3,4,1,4,2,16,17,13,12,12,12,13,9,2,6,7,7,7,Uttarakhand-Manglaur,Manglaur
12,NOTA,None of the Above,13,8,6,4,9,14,12,17,12,16,23,21,32,14,12,19,10,14,9,Uttarakhand-Manglaur,Manglaur
