O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,state_city,constituency_from_link
1,UMESH SHARMA KAU,Bharatiya Janata Party,3370,3814,3521,3033,2006,4156,4299,4138,4876,4358,4620,4467,4831,5479,4541,1748,1330,318,Uttarakhand-Raipur,Raipur
2,SARMISTA PRALIYAN,Bahujan Samaj Party,75,68,147,61,38,51,39,50,38,32,74,52,39,46,31,11,20,3,Uttarakhand-Raipur,Raipur
3,HIRA SINGH BISHT,Indian National Congress,1989,2288,2108,3276,3800,2455,1411,1704,1621,1496,2895,2364,2054,1959,2126,764,499,166,Uttarakhand-Raipur,Raipur
4,ANIL DOBHAL,Uttarakhand Kranti Dal,24,48,16,33,13,54,51,49,106,81,43,107,151,104,48,23,20,1,Uttarakhand-Raipur,Raipur
5,GANGA PRASAD,Aazad Samaj Party (Kanshi Ram),5,8,11,12,6,3,6,6,8,4,8,8,5,7,6,2,3,1,Uttarakhand-Raipur,Raipur
6,JITENDRA SRIVASTAVA,Rashtravadi Vikas Party,5,3,3,4,2,0,5,4,18,2,2,3,4,5,1,0,2,1,Uttarakhand-Raipur,Raipur
7,NARENDRA SINGH VARMA,Samajwadi Party,7,5,13,12,13,12,5,7,3,7,18,14,5,12,6,0,1,1,Uttarakhand-Raipur,Raipur
8,NAVIN PIRSHALI,Aam Aadmi Party,176,219,478,259,303,244,179,150,183,247,326,238,280,276,278,55,51,9,Uttarakhand-Raipur,Raipur
9,PRITI DIMRI,Nyaydharmsabha,1,5,9,6,12,8,6,6,7,25,9,4,8,7,9,0,3,0,Uttarakhand-Raipur,Raipur
10,RAKESH BARTHWAL,Right to Recall Party,7,3,3,6,3,1,1,2,3,3,0,1,1,8,5,2,2,0,Uttarakhand-Raipur,Raipur
11,RAM PAL SINGH,Peoples Party of India (Democratic),4,11,48,4,3,6,7,4,7,3,31,5,8,12,4,1,1,0,Uttarakhand-Raipur,Raipur
12,SUNDAR SINGH RAWAT (AAZAD),Rashtrawadi Janlok Party (Satya),2,3,5,3,4,2,1,2,17,4,2,4,5,5,1,1,0,0,Uttarakhand-Raipur,Raipur
13,SUMAN KARANWAL,Rashtriya Samaj Dal (R),1,3,3,8,4,4,1,5,3,5,4,3,7,7,6,1,5,1,Uttarakhand-Raipur,Raipur
14,MOHD.EHASAN,Independent,4,6,10,8,5,12,6,9,7,7,9,11,6,5,6,1,1,0,Uttarakhand-Raipur,Raipur
15,SHAHID RAZA,Independent,7,8,14,15,5,12,2,4,7,5,5,9,8,5,4,2,5,0,Uttarakhand-Raipur,Raipur
16,NOTA,None of the Above,53,49,51,52,23,59,61,60,68,60,57,52,72,84,74,32,25,6,Uttarakhand-Raipur,Raipur
