O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,state_city,constituency_from_link
1,KHAJAN DASS,Bharatiya Janata Party,3877,3980,4732,3535,2604,3068,3837,3771,3640,3042,451,Uttarakhand-Rajpur Road,Rajpur Road
2,DHANSINGH,Bahujan Samaj Party,34,24,21,18,155,59,16,15,30,19,3,Uttarakhand-Rajpur Road,Rajpur Road
3,RAJKUMAR,Indian National Congress,2104,2570,2357,2175,2629,2275,3289,3065,2602,2210,226,Uttarakhand-Rajpur Road,Rajpur Road
4,KAMLESH MATHUR,Samajwadi Party,15,18,23,15,20,18,19,19,14,10,5,Uttarakhand-Rajpur Road,Rajpur Road
5,DIMPAL,Aam Aadmi Party,424,300,452,316,533,451,455,399,315,405,33,Uttarakhand-Rajpur Road,Rajpur Road
6,BILLU,Uttarakhand Kranti Dal,12,12,9,8,7,5,9,9,14,16,1,Uttarakhand-Rajpur Road,Rajpur Road
7,Ramu Rajoria,Aazad Samaj Party (Kanshi Ram),12,25,19,6,37,9,25,9,58,8,3,Uttarakhand-Rajpur Road,Rajpur Road
8,VIJAY KUMAR,Rashtriya Uttarakhand Party,3,17,20,3,6,11,13,17,18,8,5,Uttarakhand-Rajpur Road,Rajpur Road
9,AMAR SINGH SWEDIA,Independent,136,66,39,16,15,17,65,9,22,8,0,Uttarakhand-Rajpur Road,Rajpur Road
10,NOTA,None of the Above,50,73,80,72,32,47,77,77,48,40,7,Uttarakhand-Rajpur Road,Rajpur Road
