O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,state_city,constituency_from_link
1,DIWAN SINGH BISHT,Bharatiya Janata Party,1544,3557,3008,2836,3847,3872,3296,3620,2598,1640,1042,Uttarakhand-Ramnagar,Ramnagar
2,MAHENDRA SINGH PAL,Indian National Congress,5236,2324,4140,2202,2259,1785,1711,1301,1669,2564,980,Uttarakhand-Ramnagar,Ramnagar
3,HEM CHANDRA BHATT,Bahujan Samaj Party,58,123,74,88,160,114,107,90,175,279,130,Uttarakhand-Ramnagar,Ramnagar
4,ABDUL GAFFAR,Samajwadi Party,29,13,24,20,13,21,157,23,19,20,7,Uttarakhand-Ramnagar,Ramnagar
5,CHINTA RAM,UTTARAKHAND PARIVARTAN PARTY,7,22,8,127,25,20,25,11,17,21,49,Uttarakhand-Ramnagar,Ramnagar
6,RAKESH CHAUHAN,Uttarakhand Kranti Dal,11,18,7,25,30,98,9,23,14,20,14,Uttarakhand-Ramnagar,Ramnagar
7,SHISHUPAL SINGH RAWAT,Aam Aadmi Party,149,149,137,141,391,300,124,144,232,510,80,Uttarakhand-Ramnagar,Ramnagar
8,JAGDISH CHANDRA PANDEY,Independent,9,6,7,38,16,7,13,8,13,20,10,Uttarakhand-Ramnagar,Ramnagar
9,MOHSIN KHAN,Independent,36,27,76,78,37,22,19,25,23,32,23,Uttarakhand-Ramnagar,Ramnagar
10,SHWETA MASHIWAL,Independent,146,338,352,545,175,122,143,214,213,204,107,Uttarakhand-Ramnagar,Ramnagar
11,SANJAY NEGI,Independent,1198,1198,791,1432,1731,1077,1059,2248,3008,1950,1050,Uttarakhand-Ramnagar,Ramnagar
12,NOTA,None of the Above,52,65,52,114,109,80,81,87,115,99,61,Uttarakhand-Ramnagar,Ramnagar
