O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,JAYENDRA CHAND RAMOLA,Indian National Congress,2897,2897,2915,2798,2567,3067,2788,2860,2863,2389,2266,1732,1018,Uttarakhand-Rishikesh,Rishikesh
2,PREM CHAND AGGARWAL,Bharatiya Janata Party,3746,4158,4264,4541,4017,2818,4128,4007,4248,3796,4182,4106,4114,Uttarakhand-Rishikesh,Rishikesh
3,ANOOP SINGH RANA,Uttarakhand Janata Party,26,20,10,12,14,19,20,35,47,23,26,31,13,Uttarakhand-Rishikesh,Rishikesh
4,KADAM SINGH,Samajwadi Party,12,8,16,14,12,31,14,13,9,9,17,8,10,Uttarakhand-Rishikesh,Rishikesh
5,KANAK DHANAI,Uttarakhand Janekta Party,1079,427,453,614,565,579,1135,1253,1653,1123,1331,1809,1024,Uttarakhand-Rishikesh,Rishikesh
6,JAGJEET SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),20,26,35,29,7,11,19,22,24,12,16,6,2,Uttarakhand-Rishikesh,Rishikesh
7,BABLI DEVI,Uttarakhand Raksha Morcha,6,10,5,3,4,6,4,8,3,6,9,10,4,Uttarakhand-Rishikesh,Rishikesh
8,SHRI MOHAN SINGH ASWAL,Uttarakhand Kranti Dal,255,16,9,8,7,39,82,69,68,82,47,45,25,Uttarakhand-Rishikesh,Rishikesh
9,RAJE SINGH NEGI,Aam Aadmi Party,95,79,178,179,198,287,226,118,141,211,142,262,636,Uttarakhand-Rishikesh,Rishikesh
10,SANJAY SRIVASTAVA,Nyaydharmsabha,16,12,8,7,6,13,10,20,22,9,16,16,19,Uttarakhand-Rishikesh,Rishikesh
11,USHA RAWAT,Independent,10,23,21,7,7,7,12,17,11,10,15,10,12,Uttarakhand-Rishikesh,Rishikesh
12,SANDEEP BASNET,Independent,45,31,26,13,25,22,30,25,30,22,51,66,23,Uttarakhand-Rishikesh,Rishikesh
13,NOTA,None of the Above,56,75,58,51,76,67,71,80,72,63,61,50,36,Uttarakhand-Rishikesh,Rishikesh
