O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,Chandrakeshwar Rao,Bahujan Samaj Party,71,30,83,88,47,59,69,42,69,71,99,147,101,30,51,27,Uttarakhand-Rudrapur,Rudrapur
2,Meena Sharma,Indian National Congress,2005,4019,2381,2159,2312,3008,3928,2479,1696,1943,2404,2864,2694,2717,2449,538,Uttarakhand-Rudrapur,Rudrapur
3,Shiv Arora,Bharatiya Janata Party,2589,2993,4589,4094,4471,4127,3202,4741,5004,3918,3592,3243,4421,4232,4466,585,Uttarakhand-Rudrapur,Rudrapur
4,Ganga Sagar,Bharatiya Subhash Sena,21,7,33,23,19,28,34,19,31,20,16,21,27,33,44,5,Uttarakhand-Rudrapur,Rudrapur
5,Nand Lal,Aam Aadmi Party,60,44,56,105,35,51,55,41,54,121,122,193,94,69,69,22,Uttarakhand-Rudrapur,Rudrapur
6,Satpal Singh Thukral,Samajwadi Party,10,24,14,20,21,15,22,19,13,11,21,32,19,17,23,4,Uttarakhand-Rudrapur,Rudrapur
7,Soni Srivastav,Nyaydharmsabha,13,15,18,17,28,20,18,12,8,10,22,17,35,25,43,3,Uttarakhand-Rudrapur,Rudrapur
8,Rajkumar Thukral,Independent,1630,2086,1895,1301,1574,1153,1753,971,842,1712,1609,1477,3144,2583,2506,366,Uttarakhand-Rudrapur,Rudrapur
9,Surendra Singh,Independent,10,22,19,29,25,18,29,20,31,18,16,16,40,46,30,3,Uttarakhand-Rudrapur,Rudrapur
10,NOTA,None of the Above,21,22,36,47,48,40,35,31,33,38,35,32,37,40,36,8,Uttarakhand-Rudrapur,Rudrapur
