O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,ARYENDRA SHARMA,Indian National Congress,5279,6028,4567,6271,3618,3136,2692,2864,2349,4140,2943,3291,2361,3144,2064,349,Uttarakhand-Sahaspur,Sahaspur
2,KAMRUDEEN,Communist Party of India (Marxist),47,40,117,38,31,20,20,44,27,48,21,46,54,40,35,3,Uttarakhand-Sahaspur,Sahaspur
3,YOGRAJ SINGH,Bahujan Samaj Party,30,33,41,12,17,18,21,18,31,39,18,42,19,22,58,4,Uttarakhand-Sahaspur,Sahaspur
4,SAHDEV SINGH PUNDIR,Bharatiya Janata Party,3543,3356,3682,1859,3360,3924,3648,4188,5399,4563,3757,5345,5656,4867,5560,633,Uttarakhand-Sahaspur,Sahaspur
5,AMIT YADAV,Samajwadi Party,44,32,58,19,24,33,17,40,28,47,21,37,25,36,36,2,Uttarakhand-Sahaspur,Sahaspur
6,GANESH PRASAD KALA,Uttarakhand Kranti Dal,21,23,11,21,19,7,11,22,26,25,47,16,53,22,14,1,Uttarakhand-Sahaspur,Sahaspur
7,LT COL GIRISH CHANDRA (RETIRED),Sainik Samaj Party,11,13,11,5,12,8,9,9,15,45,6,10,10,10,11,1,Uttarakhand-Sahaspur,Sahaspur
8,BHARAT SINGH,Aam Aadmi Party,130,66,59,54,89,141,72,65,150,173,178,267,266,272,207,22,Uttarakhand-Sahaspur,Sahaspur
9,RAM BACHAN RAM,Jai Maha Bharath Party,22,24,23,11,16,8,23,17,19,27,12,23,18,15,16,1,Uttarakhand-Sahaspur,Sahaspur
10,KALPANA BISHT,Independent,18,50,11,7,14,10,5,6,7,19,4,11,13,21,12,2,Uttarakhand-Sahaspur,Sahaspur
11,DEVESHWAR K BHATT,Independent,27,22,18,13,9,14,13,11,17,17,11,31,18,24,8,2,Uttarakhand-Sahaspur,Sahaspur
12,NOTA,None of the Above,91,86,74,59,51,39,48,58,73,115,54,83,94,85,73,8,Uttarakhand-Sahaspur,Sahaspur
