O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,state_city,constituency_from_link
1,BHOLE SHANKAR ARYA (Advocate),Bahujan Samaj Party,22,32,20,31,23,28,45,30,22,26,26,10,Uttarakhand-Salt,Salt
2,Mahesh Jeena,Bharatiya Janata Party,2043,1874,1411,1598,1665,1958,2251,2575,2226,2121,1674,501,Uttarakhand-Salt,Salt
3,RANJEET SINGH RAWAT,Indian National Congress,1918,1534,1556,2038,1847,2044,1462,1339,1102,1326,1657,617,Uttarakhand-Salt,Salt
4,JAGDISH CHANDRA,UTTARAKHAND PARIVARTAN PARTY,24,25,30,43,23,49,36,16,18,22,24,9,Uttarakhand-Salt,Salt
5,BHUPENDRA SINGH,Samajwadi Party,10,7,7,15,7,22,10,8,3,10,9,10,Uttarakhand-Salt,Salt
6,RAKESH NATH,Uttarakhand Kranti Dal,23,21,24,223,115,327,146,36,39,17,62,248,Uttarakhand-Salt,Salt
7,SURESH BISHT,Aam Aadmi Party,85,48,38,109,61,78,35,22,39,43,35,21,Uttarakhand-Salt,Salt
8,LALIT MOHAN SINGH,Independent,57,38,34,46,38,48,35,18,27,40,41,20,Uttarakhand-Salt,Salt
9,SURENDRA SINGH,Independent,57,55,36,53,31,41,61,52,63,32,36,21,Uttarakhand-Salt,Salt
10,NOTA,None of the Above,22,34,32,27,25,33,34,29,29,32,18,14,Uttarakhand-Salt,Salt
