O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,Kunwar Ram,Communist Party of India (Marxist),38,72,206,39,29,31,49,54,38,75,26,44,33,85,3,Uttarakhand-Tharali,Tharali
2,Dr. Jeet Ram,Indian National Congress,1640,1795,1500,1532,1663,1135,2112,1387,1925,2028,1520,2118,1531,1492,302,Uttarakhand-Tharali,Tharali
3,Bhupal Ram Tamta,Bharatiya Janata Party,2326,2770,2376,2805,1865,1309,1962,1962,1969,2617,2013,2520,2119,2122,700,Uttarakhand-Tharali,Tharali
4,Laxman Ram,Bahujan Samaj Party,38,69,90,82,34,24,29,43,55,64,47,50,41,50,4,Uttarakhand-Tharali,Tharali
5,Kasbi Lal Shah,Uttarakhand Kranti Dal,12,25,33,40,10,47,25,15,22,29,26,43,19,28,6,Uttarakhand-Tharali,Tharali
6,Kishore Kumar,Samajwadi Party,10,21,31,35,7,5,12,6,9,15,10,17,8,18,8,Uttarakhand-Tharali,Tharali
7,Guddu Lal,Aam Aadmi Party,126,315,301,493,29,33,24,22,43,76,66,43,38,101,66,Uttarakhand-Tharali,Tharali
8,Naini Ram,Uttarakhand Janekta Party,40,67,76,93,75,46,53,57,50,141,44,87,50,61,20,Uttarakhand-Tharali,Tharali
9,Ganesh Kumar,Independent,31,37,46,53,23,40,35,19,31,57,31,45,20,49,7,Uttarakhand-Tharali,Tharali
10,NOTA,None of the Above,40,68,66,68,32,24,33,28,33,56,36,46,58,41,13,Uttarakhand-Tharali,Tharali
