O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,state_city,constituency_from_link
1,Kunwar Chand,Samajwadi Party,848,1881,1510,1371,1942,692,2019,1077,2376,4573,4633,3570,1862,1005,1106,1135,764,1684,808,677,1339,3298,2166,906,2816,3912,3086,3278,1022,1557,4469,2814,1381,506,460,230,30,Uttar Pradesh-Agra Cantt.,Agra Cantt. 
2,Dr. G S Dharmesh,Bharatiya Janata Party,3228,3410,3548,3358,3906,858,3069,4209,2863,2344,1720,2024,3464,4426,3271,2484,3907,4146,3051,5295,5159,3667,4022,4257,2897,2446,3695,2258,5015,3442,3549,2126,3955,2886,2163,1126,108,Uttar Pradesh-Agra Cantt.,Agra Cantt. 
3,Dr. Bhartendra Kumar Arun,Bahujan Samaj Party,2966,2509,2008,1016,373,5565,2005,1311,1808,404,111,425,265,582,2916,3689,1997,1177,1670,277,533,793,1052,720,875,197,94,640,1349,1275,345,2949,1837,3133,4770,423,157,Uttar Pradesh-Agra Cantt.,Agra Cantt. 
4,Sikandar Singh,Indian National Congress,284,186,245,498,249,141,171,106,102,44,51,76,249,77,157,206,160,448,112,73,122,139,34,147,154,99,76,64,220,116,122,47,110,114,142,202,5,Uttar Pradesh-Agra Cantt.,Agra Cantt. 
5,Prem Singh,Aam Aadmi Party,67,39,75,38,35,59,47,49,34,13,10,6,30,37,76,40,50,64,34,13,27,27,12,19,28,16,9,16,24,24,20,3,24,15,25,8,1,Uttar Pradesh-Agra Cantt.,Agra Cantt. 
6,Mona,Peace Party,7,7,8,22,13,8,17,6,11,28,23,40,6,2,8,5,2,10,3,4,9,12,11,2,16,5,9,33,9,12,32,14,10,4,8,3,0,Uttar Pradesh-Agra Cantt.,Agra Cantt. 
7,Sundar Singh,Bharatiya Majdoor Janta Party,11,13,7,4,5,30,14,2,14,9,4,8,3,4,15,21,10,9,8,3,10,13,12,11,23,6,3,13,18,13,5,28,18,11,33,6,3,Uttar Pradesh-Agra Cantt.,Agra Cantt. 
8,Akash Soni,Independent,11,5,12,8,11,37,20,7,7,9,6,8,7,6,7,11,5,6,8,5,5,5,8,13,11,1,6,8,21,11,8,11,17,17,19,6,0,Uttar Pradesh-Agra Cantt.,Agra Cantt. 
9,Prakash Indiver,Independent,16,23,10,8,10,44,35,11,15,15,12,4,12,7,34,24,14,28,14,3,9,14,17,13,17,5,9,13,25,23,14,27,17,35,30,10,0,Uttar Pradesh-Agra Cantt.,Agra Cantt. 
10,Hari Kishan,Independent,15,9,18,4,10,5,36,9,10,24,5,10,15,11,12,14,9,21,18,12,19,12,28,30,19,5,15,10,29,18,27,15,20,9,23,5,1,Uttar Pradesh-Agra Cantt.,Agra Cantt. 
11,NOTA,None of the Above,34,46,49,29,49,35,59,39,47,43,28,28,32,33,43,33,43,49,37,38,37,63,32,31,57,30,28,41,45,31,32,57,40,39,43,14,0,Uttar Pradesh-Agra Cantt.,Agra Cantt. 
