O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,TRIBHUWAN RAM,Bharatiya Janata Party,4003,4546,4277,2862,3752,2798,3265,3813,3372,3772,4120,3370,3758,3440,3709,3389,3530,3155,3075,3357,2226,2380,2246,3023,2739,2604,3330,2507,1520,3546,3061,267,Uttar Pradesh-Ajagara,Ajagara 
2,RAGHUNATH CHAUDHARI,Bahujan Samaj Party,1443,1182,1162,1525,465,1092,1094,817,1733,699,1496,1390,1548,1213,1750,1203,1266,1675,1290,1546,1124,1737,1645,2052,1508,1943,1283,1301,1386,900,1453,232,Uttar Pradesh-Ajagara,Ajagara 
3,HEMA DEVI,Indian National Congress,85,95,91,77,82,82,68,62,70,93,59,56,80,57,69,48,52,62,61,72,64,55,49,38,117,83,69,55,40,54,54,13,Uttar Pradesh-Ajagara,Ajagara 
4,BAGESHWAR,Sarvjan Sanatan Party,31,14,20,16,20,25,14,22,17,16,28,12,18,13,16,19,12,12,10,20,16,24,15,16,21,25,18,16,20,22,11,5,Uttar Pradesh-Ajagara,Ajagara 
5,RAJPATI BANVASI,Rashtriya Vikas Manch Party,15,13,11,8,21,16,15,15,13,9,16,13,11,4,13,13,13,9,13,10,13,12,7,16,8,16,13,11,10,11,6,2,Uttar Pradesh-Ajagara,Ajagara 
6,VIDYA DEVI,Bahujan Mukti Party,7,11,18,7,15,8,12,5,13,9,10,7,6,16,16,12,5,10,8,9,12,19,11,7,2,13,10,8,5,17,6,1,Uttar Pradesh-Ajagara,Ajagara 
7,SATYA PRAKASH,Aam Aadmi Party,32,46,18,30,35,23,24,33,14,36,21,18,17,22,21,34,26,16,11,11,17,16,16,17,14,15,23,14,12,21,13,5,Uttar Pradesh-Ajagara,Ajagara 
8,Sita Ram,Jan Adhikar Party,76,64,29,64,108,59,42,51,28,63,55,35,46,38,81,38,68,41,52,41,60,133,90,47,37,32,57,53,54,59,56,6,Uttar Pradesh-Ajagara,Ajagara 
9,SUNIL SONKAR,Suheldev Bharatiya Samaj Party,3366,1907,2045,2653,3083,2962,2341,2914,2275,2911,2785,2473,2589,2726,3498,4288,4085,3604,2154,2427,3138,2766,3383,3655,2345,2651,3803,3295,3443,2932,2803,160,Uttar Pradesh-Ajagara,Ajagara 
10,ANOOP SHRAMIK,Independent,37,20,25,27,33,28,21,38,33,23,40,32,20,23,28,39,24,39,33,33,36,35,34,52,34,30,46,35,45,43,40,4,Uttar Pradesh-Ajagara,Ajagara 
11,VIDYA PRAKASH,Independent,32,33,24,18,29,25,36,22,25,23,51,22,23,19,30,18,24,33,27,27,26,18,21,24,31,30,28,30,22,27,21,3,Uttar Pradesh-Ajagara,Ajagara 
12,NOTA,None of the Above,79,77,98,67,69,48,58,48,76,76,90,61,68,45,74,65,94,63,54,63,51,61,54,81,60,55,73,64,53,66,64,12,Uttar Pradesh-Ajagara,Ajagara 
