O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,CHANDRA PRAKASH VERMA,Bahujan Samaj Party,2398,2524,2035,2857,2066,2260,1458,721,1077,1576,1091,3065,2338,2538,1596,1595,1844,1415,2149,1739,1912,1812,1628,1890,1949,1992,1582,1427,508,79,Uttar Pradesh-Akbarpur,Akbarpur  
2,DHARMRAJ NISHAD,Bharatiya Janata Party,2243,2189,1870,2776,2310,2914,2457,2768,4629,2784,2282,1846,1512,2130,1995,2161,2287,2829,1914,2423,2525,2186,3284,2525,2763,3713,2795,1030,58,199,Uttar Pradesh-Akbarpur,Akbarpur  
3,PRIYANKA,Indian National Congress,88,123,76,92,69,92,71,80,104,95,94,143,177,307,73,103,99,90,89,68,65,67,85,78,99,93,66,37,3,3,Uttar Pradesh-Akbarpur,Akbarpur  
4,RAM ACHAL RAJBHAR,Samajwadi Party,2896,2929,3424,2429,3142,2777,2332,4331,2923,3232,3229,1979,2246,2596,2849,3598,3680,3501,3177,2531,2430,3746,3028,2627,2425,2595,2640,1706,90,127,Uttar Pradesh-Akbarpur,Akbarpur  
5,CHANDRESH,Aazad Samaj Party (Kanshi Ram),25,41,36,44,30,27,15,18,15,36,31,46,16,25,22,27,31,44,44,48,21,46,22,43,35,38,23,14,4,2,Uttar Pradesh-Akbarpur,Akbarpur  
6,JITENDRA KUMAR,Bahujan Mukti Party,51,34,10,87,65,99,39,9,13,25,54,60,45,25,91,53,25,29,63,40,13,27,15,18,52,17,7,8,4,0,Uttar Pradesh-Akbarpur,Akbarpur  
7,DURVIJAY PAL,Voters Party International,5,24,2,82,17,18,10,7,11,10,13,11,3,8,10,8,18,17,9,35,9,21,35,21,20,12,9,2,1,1,Uttar Pradesh-Akbarpur,Akbarpur  
8,MANOJ KUMAR,Rashtriya Jan Sahyog Party,6,8,8,11,12,14,9,4,11,14,13,10,10,7,8,14,10,13,6,48,13,17,3,8,10,9,4,5,2,1,Uttar Pradesh-Akbarpur,Akbarpur  
9,MOOL CHAND JAISWAL,Aam Aadmi Party,11,15,12,21,18,26,18,11,31,17,19,8,10,8,15,13,21,28,25,28,13,26,19,14,15,18,10,3,0,3,Uttar Pradesh-Akbarpur,Akbarpur  
10,SURESH KUMAR,Moulik Adhikar Party,29,31,22,43,30,52,19,13,15,39,48,20,20,35,36,39,45,48,31,30,25,37,25,35,33,42,31,21,0,2,Uttar Pradesh-Akbarpur,Akbarpur  
11,BRIJESH KUMAR,Independent,45,32,19,35,20,31,17,9,18,33,33,13,14,27,14,26,25,25,18,15,18,24,37,16,21,26,31,16,0,3,Uttar Pradesh-Akbarpur,Akbarpur  
12,BHANU PRATAP,Independent,31,26,30,26,14,28,10,13,28,41,33,20,12,25,29,25,32,21,31,34,34,26,46,31,34,45,32,22,3,2,Uttar Pradesh-Akbarpur,Akbarpur  
13,NOTA,None of the Above,48,63,37,62,57,85,35,27,42,78,71,49,49,66,53,58,80,69,58,65,61,63,64,65,68,65,58,47,9,3,Uttar Pradesh-Akbarpur,Akbarpur  
