O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,Ambrish Singh Gaur,Indian National Congress,96,58,78,85,57,59,50,49,36,65,47,48,40,59,82,42,34,50,63,62,26,41,38,36,43,75,82,83,52,Uttar Pradesh-Akbarpur - Raniya,Akbarpur - Raniya
2,Pratibha Shukla,Bharatiya Janata Party,3193,2667,3428,3488,2814,2794,3200,3106,2906,3285,3071,2815,3691,3258,3088,3355,3432,2761,3962,3563,2661,2716,2225,3097,2918,2894,4655,4486,3021,Uttar Pradesh-Akbarpur - Raniya,Akbarpur - Raniya
3,Dr. Ram Prakash Kushwaha,Samajwadi Party,2161,3424,2641,1765,3082,4073,3118,1562,1696,2400,1830,1846,2420,1585,2485,2955,1888,2524,2785,4698,3597,4202,4010,1946,3714,4153,2469,2533,1434,Uttar Pradesh-Akbarpur - Raniya,Akbarpur - Raniya
4,Vinod Kumar Pal,Bahujan Samaj Party,1421,1549,833,1179,999,1232,1021,790,1017,1036,1034,824,488,994,1091,1107,1295,1260,1275,490,1374,1447,1095,2205,1398,1163,786,1420,313,Uttar Pradesh-Akbarpur - Raniya,Akbarpur - Raniya
5,Kamlesh Kumar,Jan Adhikar Party,20,15,8,12,17,19,23,15,23,25,12,17,8,13,18,9,12,30,14,10,15,15,42,22,14,19,119,37,12,Uttar Pradesh-Akbarpur - Raniya,Akbarpur - Raniya
6,Nausad Babu,Peace Party,12,6,3,11,8,4,9,5,5,9,4,8,5,8,5,11,5,19,5,17,7,6,7,8,9,11,10,10,3,Uttar Pradesh-Akbarpur - Raniya,Akbarpur - Raniya
7,Rajesh Kumar,Peoples Party of India (Democratic),27,13,14,22,19,24,16,16,16,18,15,24,25,22,25,22,24,31,29,11,16,29,20,26,12,23,31,30,22,Uttar Pradesh-Akbarpur - Raniya,Akbarpur - Raniya
8,Vivesh Kumar,Aam Aadmi Party,95,60,41,16,36,29,47,19,38,45,57,39,67,23,15,25,18,41,34,17,24,30,26,170,14,41,24,29,9,Uttar Pradesh-Akbarpur - Raniya,Akbarpur - Raniya
9,Brij Bhushan,Independent,14,11,8,6,7,16,14,7,14,4,19,6,9,17,8,11,13,13,7,8,11,11,75,66,9,10,7,24,7,Uttar Pradesh-Akbarpur - Raniya,Akbarpur - Raniya
10,Rameshwar,Independent,30,28,9,19,35,19,30,17,15,21,28,29,23,17,19,28,21,24,24,27,20,24,28,26,19,33,16,26,21,Uttar Pradesh-Akbarpur - Raniya,Akbarpur - Raniya
11,Vipin Kumar,Independent,27,28,11,10,28,29,29,21,19,24,26,30,25,34,42,64,28,21,13,17,17,17,13,27,13,23,29,40,103,Uttar Pradesh-Akbarpur - Raniya,Akbarpur - Raniya
12,NOTA,None of the Above,46,58,23,32,33,53,40,29,36,28,31,28,30,42,43,47,38,44,52,51,36,38,45,73,33,42,35,68,35,Uttar Pradesh-Akbarpur - Raniya,Akbarpur - Raniya
