O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,Keshradevi Gautam,Bahujan Samaj Party,1762,1597,1926,1880,1633,1740,1503,1869,1706,1874,2023,1323,1849,1638,1650,2010,2217,2393,1519,2085,1592,1902,2062,1806,1984,1351,2392,1732,1833,Uttar Pradesh-Alapur,Alapur 
2,Tribhuwan Dutt,Samajwadi Party,3668,2761,2967,3165,2935,2600,2788,2820,2162,2306,2875,2428,2256,2912,4169,3011,2870,1872,2945,1721,1797,1612,2580,1584,2424,1992,1214,2900,2073,Uttar Pradesh-Alapur,Alapur 
3,Triveniram,Bharatiya Janata Party,2310,1813,2577,2424,1946,2052,1946,2395,1542,2380,1773,2125,1927,1576,1422,2928,1791,2307,1786,2150,2374,2822,2673,2801,2401,2480,2530,2350,2877,Uttar Pradesh-Alapur,Alapur 
4,Sattyambada,Indian National Congress,54,138,62,63,36,63,68,79,38,98,75,44,43,50,51,28,40,60,62,64,52,61,60,68,54,62,71,57,43,Uttar Pradesh-Alapur,Alapur 
5,Kheladi,Moulik Adhikar Party,29,20,19,19,13,19,21,28,13,58,26,32,11,15,25,10,14,15,24,31,10,19,12,37,22,24,14,47,24,Uttar Pradesh-Alapur,Alapur 
6,R.C. Gond,Lok Dal,11,12,8,8,5,14,9,15,17,23,20,12,13,17,7,17,24,75,11,23,10,17,16,32,12,11,19,16,18,Uttar Pradesh-Alapur,Alapur 
7,Ghanshyam,Jan Adhikar Party,61,54,48,13,14,70,56,54,81,124,136,93,54,55,46,56,44,22,200,76,27,39,80,61,14,30,6,36,43,Uttar Pradesh-Alapur,Alapur 
8,Nikesh,Aam Aadmi Party,14,14,6,13,49,13,14,12,15,32,39,17,19,11,8,11,15,13,16,15,9,33,37,33,14,21,17,17,13,Uttar Pradesh-Alapur,Alapur 
9,Nikhil Kumar,Aazad Samaj Party (Kanshi Ram),26,27,45,17,30,19,40,54,21,85,71,22,100,40,20,36,99,15,47,26,12,7,17,17,14,17,15,25,16,Uttar Pradesh-Alapur,Alapur 
10,Premlata,Vikassheel Insaan Party,12,16,7,8,40,421,103,321,571,847,968,800,136,22,108,6,287,27,148,256,174,30,112,296,86,107,25,464,364,Uttar Pradesh-Alapur,Alapur 
11,Ram Chet,Bahujan Mukti Party,25,27,17,6,13,28,10,27,28,37,48,30,23,15,74,33,19,12,25,31,22,11,15,27,16,19,18,16,32,Uttar Pradesh-Alapur,Alapur 
12,Shailendra Kumar,Voters Party International,23,15,21,33,22,15,11,46,18,31,17,26,16,12,18,15,25,18,20,24,23,15,18,40,30,17,15,24,26,Uttar Pradesh-Alapur,Alapur 
13,Ram Bachan,Independent,35,31,31,49,22,23,26,38,37,37,29,32,17,31,20,23,28,22,29,26,32,20,36,47,38,23,23,37,29,Uttar Pradesh-Alapur,Alapur 
14,NOTA,None of the Above,68,46,54,58,50,33,54,56,46,71,53,52,47,37,45,55,51,41,44,59,37,55,62,81,66,48,51,72,41,Uttar Pradesh-Alapur,Alapur 
