O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,RAMESHWAR SINGH YADAV,Samajwadi Party,3594,4069,3032,1467,1856,2917,2522,2448,1859,2788,3797,3494,2746,2714,1641,2079,3155,2288,2207,3993,3184,2434,2868,3035,4053,3272,3308,4024,2693,2219,2466,1613,3870,2812,1948,Uttar Pradesh-Aliganj,Aliganj
2,SAOOD ALI KHAN URF JUNAID MIYAN,Bahujan Samaj Party,316,702,692,425,340,487,480,508,276,924,359,298,706,898,2005,1156,460,289,549,158,196,275,181,250,557,652,492,367,355,152,150,279,328,1186,239,Uttar Pradesh-Aliganj,Aliganj
3,SATYAPAL SINGH RATHORE,Bharatiya Janata Party,2535,1902,3240,3275,3325,2917,3662,2437,1840,3319,4428,3663,2963,1810,3407,2394,4072,1953,2585,1690,1549,3599,3213,2448,1949,2611,3180,3900,3349,4693,4432,2354,3215,3029,1638,Uttar Pradesh-Aliganj,Aliganj
4,SUBHASH CHANDRA,Indian National Congress,26,20,46,40,21,37,57,21,13,33,26,24,27,31,52,14,46,20,19,11,8,29,37,24,11,32,41,33,51,38,19,25,32,37,25,Uttar Pradesh-Aliganj,Aliganj
5,KAILASH LODHI,Jan Adhikar Party,73,26,93,15,73,88,42,10,45,22,77,37,49,43,6,6,61,115,27,7,2,58,12,51,48,23,29,35,17,5,14,37,43,312,50,Uttar Pradesh-Aliganj,Aliganj
6,RAHUL URF RAHUL KUMAR PATHAK,Aam Aadmi Party,6,5,6,9,6,3,6,3,1,9,5,31,1,6,6,4,5,5,4,9,2,9,6,4,4,7,7,17,2,6,4,4,2,8,1,Uttar Pradesh-Aliganj,Aliganj
7,ANURAG SINGH,Independent,3,4,6,3,2,1,1,5,1,6,0,2,3,4,3,0,4,3,4,1,2,3,2,1,2,2,2,2,3,5,2,1,35,7,6,Uttar Pradesh-Aliganj,Aliganj
8,GAURAV RATHORE,Independent,7,6,6,8,10,14,5,5,8,13,9,8,9,4,8,15,9,4,4,10,4,6,8,8,12,7,7,7,8,5,9,9,13,17,7,Uttar Pradesh-Aliganj,Aliganj
9,DEVENDRA SINGH RATHORE,Independent,2,3,5,0,4,6,4,5,2,6,6,6,1,5,2,5,5,3,5,2,2,5,3,4,4,5,6,8,5,6,1,3,5,3,3,Uttar Pradesh-Aliganj,Aliganj
10,RAM BRAJESH,Independent,13,5,12,11,13,4,13,7,5,13,9,8,8,7,5,7,10,4,7,9,5,8,10,5,4,8,1,8,6,7,8,6,10,10,7,Uttar Pradesh-Aliganj,Aliganj
11,VAKIL SHAH,Independent,40,27,32,34,41,36,47,39,27,41,34,31,49,29,25,11,53,15,30,13,24,51,33,40,25,33,35,41,39,46,50,23,47,37,20,Uttar Pradesh-Aliganj,Aliganj
12,SAMYAK CHANDRA,Independent,13,17,24,12,8,15,21,17,3,20,7,12,16,16,18,13,10,8,19,11,11,21,20,20,3,18,15,10,8,12,15,10,20,18,11,Uttar Pradesh-Aliganj,Aliganj
13,NOTA,None of the Above,39,43,35,22,30,30,35,36,21,40,46,32,57,38,29,27,41,19,33,41,30,46,42,35,45,37,45,39,33,24,34,19,73,33,34,Uttar Pradesh-Aliganj,Aliganj
