O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,ANUGRAH NARAIN SINGH,Indian National Congress,389,619,1131,691,400,559,464,420,583,866,1046,1370,1551,780,682,754,402,643,800,1268,817,1055,674,575,736,680,502,864,584,529,527,374,27,Uttar Pradesh-Allahabad North,Allahabad North
2,SANJAY GOSWAMI,Bahujan Samaj Party,501,201,378,443,575,198,169,341,492,366,161,180,329,550,388,735,295,178,180,147,99,264,347,203,221,172,227,191,159,267,402,127,5,Uttar Pradesh-Allahabad North,Allahabad North
3,SANDEEP YADAV,Samajwadi Party,1459,977,1309,1569,2045,1381,1174,1569,2611,1266,867,899,1574,1497,2330,1566,1088,995,946,1402,1312,1081,1151,1158,1207,826,770,1331,984,1108,1033,524,99,Uttar Pradesh-Allahabad North,Allahabad North
4,HARSHVARDHAN BAJPAI,Bharatiya Janata Party,2783,4083,2972,3081,2728,2631,3477,3055,2637,3099,3363,2767,1792,2688,2190,2783,2372,2523,3438,2658,3021,3376,3521,3368,3257,3326,3053,3333,3414,3824,3042,2050,334,Uttar Pradesh-Allahabad North,Allahabad North
5,Mo. ALI,All India Majlis-E-Ittehadul Muslimeen,32,35,67,19,44,27,27,50,103,2,23,13,36,17,41,19,24,9,12,32,30,18,14,10,9,24,8,47,23,20,12,9,2,Uttar Pradesh-Allahabad North,Allahabad North
6,RATAN SRIVASTAVA,Rashtravadi Vikas Party,4,4,10,8,9,6,14,15,5,12,9,6,8,5,10,9,3,6,12,6,9,7,21,11,10,39,20,21,16,17,11,10,0,Uttar Pradesh-Allahabad North,Allahabad North
7,RAJEEV KUMAR PANDEY,Akhil Bharatiya Socialist Party,3,6,7,9,6,4,5,8,6,6,4,18,13,7,15,9,9,10,8,2,4,6,14,2,8,14,4,10,14,11,11,2,0,Uttar Pradesh-Allahabad North,Allahabad North
8,SANJIV MISHRA,Aam Aadmi Party,19,22,34,48,73,38,44,31,54,41,33,57,45,45,41,54,34,19,45,19,26,33,32,26,75,48,50,35,30,30,38,21,5,Uttar Pradesh-Allahabad North,Allahabad North
9,ANIL,Independent,11,9,5,6,7,3,7,2,5,6,6,2,9,11,10,10,10,4,8,3,2,4,14,3,8,13,8,6,8,8,5,2,0,Uttar Pradesh-Allahabad North,Allahabad North
10,NOTA,None of the Above,23,32,30,19,38,25,29,27,24,46,32,20,37,21,16,35,26,21,26,17,9,33,32,29,34,37,32,23,36,41,37,20,3,Uttar Pradesh-Allahabad North,Allahabad North
