O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,SANTOSH PAL,Bhartiya Shakti Chetna Party,1,1,4,9,10,3,1,13,8,2,2,3,3,4,2,7,3,6,13,2,9,6,12,6,5,24,7,10,7,Uttar Pradesh-Allahabad South,Allahabad South
2,"NAND GOPAL GUPTA ""NANDI""",Bharatiya Janata Party,3315,4595,4793,1246,4915,3091,775,1137,4086,458,727,3416,4954,5325,4339,3619,2786,3503,2945,4975,4101,3796,4221,3254,3554,3289,2852,4013,3407,Uttar Pradesh-Allahabad South,Allahabad South
3,GOPAL SWAROOP JOSHI,Independent,7,9,8,11,11,4,3,16,25,1,1,4,7,4,3,3,4,9,11,9,11,12,12,4,10,12,3,22,18,Uttar Pradesh-Allahabad South,Allahabad South
4,"""DEVENDRA MISHRA NAGRAHA""",Bahujan Samaj Party,23,45,126,47,47,29,7,21,81,18,22,65,61,91,59,52,160,448,104,63,289,227,376,269,379,167,281,423,161,Uttar Pradesh-Allahabad South,Allahabad South
5,RAISH CHANDRA SHUKLA,Samajwadi Party,3119,2294,1201,4421,2027,2978,5055,4238,2544,4963,5160,2042,1298,1086,1974,2805,1775,1439,2310,1494,2049,1887,1438,1108,1578,2271,2944,1801,1771,Uttar Pradesh-Allahabad South,Allahabad South
6,ALTAF AHMAD,Aam Aadmi Party,21,27,30,66,44,32,30,39,29,29,23,19,34,37,28,36,18,43,62,33,31,49,37,35,48,59,75,50,45,Uttar Pradesh-Allahabad South,Allahabad South
7,ALPANA NISHAD,Indian National Congress,46,61,60,36,53,50,31,33,79,28,33,51,65,53,75,91,92,69,193,90,119,85,77,94,101,72,94,100,60,Uttar Pradesh-Allahabad South,Allahabad South
8,KAMALA PRASAD,Ambedkar Yug Party,3,0,4,12,8,1,2,10,5,1,1,1,3,2,0,4,2,2,9,5,6,7,8,2,8,4,5,10,3,Uttar Pradesh-Allahabad South,Allahabad South
9,KAILASH CHANDRA KESARWANI,Samyak Party,1,7,2,11,7,3,0,10,8,1,0,1,1,4,4,1,1,0,6,3,3,3,1,5,7,4,8,5,3,Uttar Pradesh-Allahabad South,Allahabad South
10,MOHAMMAD FARHAN,All India Majlis-E-Ittehadul Muslimeen,45,79,7,91,25,92,151,122,62,200,183,48,15,3,15,56,20,6,46,21,33,27,11,2,17,38,63,12,40,Uttar Pradesh-Allahabad South,Allahabad South
11,KAMALA KANT,Independent,5,5,7,13,7,6,3,16,6,1,3,3,8,4,6,6,4,3,16,5,7,6,9,7,12,10,8,23,5,Uttar Pradesh-Allahabad South,Allahabad South
12,NAMAN JEET SINGH,Jansatta Dal Loktantrik,6,8,3,9,50,40,17,13,13,6,7,5,10,4,5,4,3,2,13,2,9,1,3,3,1,14,7,8,3,Uttar Pradesh-Allahabad South,Allahabad South
13,TARUN SRIVASTAVA,Independent,2,3,6,10,14,10,7,14,8,3,3,8,9,12,6,6,4,9,13,9,12,11,10,9,7,7,9,28,5,Uttar Pradesh-Allahabad South,Allahabad South
14,NOTA,None of the Above,27,31,32,24,42,24,12,23,46,9,23,17,43,32,16,27,7,42,31,36,25,27,28,22,33,43,36,44,26,Uttar Pradesh-Allahabad South,Allahabad South
