O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,DIVYA SHARMA,Indian National Congress,81,49,53,57,53,44,41,65,36,27,34,39,29,36,60,38,130,56,67,24,67,44,35,72,38,41,21,Uttar Pradesh-Amanpur,Amanpur
2,SATYABHAN,Samajwadi Party,1834,2230,1482,2360,2127,1884,3272,4886,3085,3626,1883,1569,470,1890,476,457,2438,2523,889,2515,2113,915,1682,1698,1670,1990,736,Uttar Pradesh-Amanpur,Amanpur
3,SUBHASH CHANDRA,Bahujan Samaj Party,1097,917,837,1402,1994,671,1438,1024,1464,1182,965,1293,1487,1824,608,1031,1114,1259,1882,585,1079,1624,2098,1839,2944,1065,504,Uttar Pradesh-Amanpur,Amanpur
4,HARIOM,Bharatiya Janata Party,4509,3533,4991,3482,3426,4807,3537,1952,2761,2056,4310,3391,4319,2465,6763,5571,2924,3282,3509,3820,4391,3161,2496,2949,2043,3145,2380,Uttar Pradesh-Amanpur,Amanpur
5,ARJUN SINGH,Jan Adhikar Party,41,45,41,51,29,33,32,13,16,14,23,65,25,50,40,27,25,49,129,44,29,27,20,26,16,85,101,Uttar Pradesh-Amanpur,Amanpur
6,ASHISH KUMAR,India Janshakti Party,10,14,12,7,6,7,5,4,2,4,6,8,6,8,6,4,3,6,10,7,6,7,5,12,6,8,1,Uttar Pradesh-Amanpur,Amanpur
7,MANOJ KUMAR,Aam Aadmi Party,15,18,89,10,4,20,8,10,8,21,37,18,97,19,25,17,27,10,12,19,16,9,2,10,9,8,7,Uttar Pradesh-Amanpur,Amanpur
8,USHA,Independent,8,11,12,7,7,9,6,4,9,4,9,3,10,5,4,5,8,1,8,5,5,2,3,3,3,2,3,Uttar Pradesh-Amanpur,Amanpur
9,KAPIL KUMAR,Independent,22,16,24,17,16,11,18,8,9,10,11,15,8,12,13,11,6,6,20,6,15,12,8,11,11,6,6,Uttar Pradesh-Amanpur,Amanpur
10,JITENDRA,Independent,45,37,34,39,30,51,26,13,19,20,20,36,31,22,24,35,17,23,32,20,28,18,21,18,22,15,11,Uttar Pradesh-Amanpur,Amanpur
11,MAHENDRA PAL SINGH,Independent,38,32,28,26,31,26,29,12,25,13,10,27,28,21,18,16,16,18,29,11,15,23,15,20,34,18,11,Uttar Pradesh-Amanpur,Amanpur
12,VINEET SHAKYA,Independent,26,28,22,21,38,22,30,26,32,20,25,17,12,22,19,16,13,30,24,21,17,16,9,20,28,13,16,Uttar Pradesh-Amanpur,Amanpur
13,NOTA,None of the Above,44,63,45,42,49,42,58,32,38,30,33,20,19,28,34,27,15,18,33,19,31,33,24,28,32,31,17,Uttar Pradesh-Amanpur,Amanpur
