O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,ASHISH SHUKLA,Indian National Congress,477,311,254,276,312,479,746,701,700,483,707,498,622,569,872,333,1186,418,532,452,565,323,294,422,397,370,314,245,166,Uttar Pradesh-Amethi,Amethi
2,MAHARAJI PRAJAPATI,Samajwadi Party,3120,3167,2327,2404,2953,3051,3099,3362,3055,3711,3087,2874,2814,2914,3394,2811,2799,3668,3566,2745,3119,2558,3319,3385,3537,2899,3456,2896,1666,Uttar Pradesh-Amethi,Amethi
3,RAGINI,Bahujan Samaj Party,277,372,191,175,139,224,338,190,257,129,267,200,286,228,258,223,418,444,490,571,577,387,245,592,499,656,576,717,239,Uttar Pradesh-Amethi,Amethi
4,DR.SANJAY SINH,Bharatiya Janata Party,1956,2636,1861,3802,3310,2504,2795,2517,2902,2442,2740,2430,2385,2694,2675,2702,1905,2091,2019,2687,2495,2454,1557,1962,2089,2235,1940,2748,1286,Uttar Pradesh-Amethi,Amethi
5,ANURAG,Aam Aadmi Party,16,24,30,51,26,26,48,55,69,18,39,37,36,25,43,31,28,33,25,33,24,30,16,21,44,45,23,18,17,Uttar Pradesh-Amethi,Amethi
6,ANJU PAL,Rashtra Uday Party,35,25,16,5,5,5,17,10,7,24,19,18,17,29,58,20,80,46,38,44,18,28,26,52,45,41,34,24,6,Uttar Pradesh-Amethi,Amethi
7,KRISHNA KUMAR,Jan Adhikar Party,12,18,5,48,22,9,18,9,4,11,26,14,11,11,17,25,17,11,11,15,31,10,20,11,7,67,20,9,3,Uttar Pradesh-Amethi,Amethi
8,PRADEEP KUMAR,Rashtriya Democratic Front,14,25,9,9,8,10,15,7,5,10,11,17,11,12,18,15,17,18,11,22,10,9,5,17,12,20,13,7,4,Uttar Pradesh-Amethi,Amethi
9,RAJU,Vikassheel Insaan Party,8,27,10,15,16,9,17,10,2,9,19,9,9,12,6,8,13,30,10,19,10,7,4,6,13,10,8,9,7,Uttar Pradesh-Amethi,Amethi
10,RAMRAJ,Moulik Adhikar Party,18,13,16,13,18,16,25,41,17,18,44,33,31,34,31,31,27,32,31,25,20,12,18,15,19,23,19,22,8,Uttar Pradesh-Amethi,Amethi
11,SHATRUNJAY PRATAP SINGH,Log Party,14,23,4,4,11,13,16,16,7,13,11,16,12,20,16,10,19,16,16,13,12,12,7,12,19,13,14,13,6,Uttar Pradesh-Amethi,Amethi
12,ASHOK KUMAR,Independent,22,18,11,21,14,14,25,16,18,16,31,29,24,22,28,20,24,15,17,30,19,18,19,23,20,17,18,15,10,Uttar Pradesh-Amethi,Amethi
13,PAWAN,Independent,20,21,8,11,9,13,27,18,22,14,28,20,20,12,25,15,14,21,15,40,18,16,12,12,24,24,18,17,8,Uttar Pradesh-Amethi,Amethi
14,SANJAY SINGH,Independent,37,32,25,26,18,30,41,41,25,27,49,45,26,30,36,41,37,39,36,49,37,29,34,23,48,39,28,34,15,Uttar Pradesh-Amethi,Amethi
15,NOTA,None of the Above,32,38,20,37,36,30,66,63,38,23,55,54,37,26,53,46,46,49,49,46,45,31,35,46,41,61,40,40,21,Uttar Pradesh-Amethi,Amethi
