O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,Amit Kumar Singh,Bahujan Samaj Party,383,376,436,178,249,1037,526,654,521,637,909,445,344,349,251,481,540,704,588,187,480,304,550,386,894,363,227,Uttar Pradesh-Amritpur,Amritpur
2,Dr. JITENDRA SINGH YADAV,Samajwadi Party,1933,1467,3124,1384,2608,1388,1250,1715,1377,1483,1905,1297,2297,2848,3823,2038,2205,2152,1759,2285,1491,2172,2502,3382,1546,1905,338,Uttar Pradesh-Amritpur,Amritpur
3,Shubham Tiwari,Indian National Congress,55,73,51,66,64,39,53,48,37,64,52,46,56,60,36,49,57,56,40,56,18,37,36,35,59,53,10,Uttar Pradesh-Amritpur,Amritpur
4,Sushil Kumar Shakya,Bharatiya Janata Party,4573,4065,3600,5543,3702,4962,4390,3911,3827,3225,3785,5639,4303,2877,2328,3530,3573,4240,4203,3009,2892,2088,2577,2598,4073,4069,1001,Uttar Pradesh-Amritpur,Amritpur
5,Ajay Singh Rajput,Bahujan Mukti Party,108,47,54,43,67,39,31,43,50,23,38,71,39,10,39,26,22,27,27,40,20,17,17,22,20,34,6,Uttar Pradesh-Amritpur,Amritpur
6,Shyamveer Singh,Bharatiya Nagrik Party,4,3,4,2,8,8,5,1,14,4,8,5,9,3,5,4,4,9,7,1,10,4,8,6,8,7,3,Uttar Pradesh-Amritpur,Amritpur
7,SONPAL SINGH,Bharatiya Subhash Sena,38,6,12,40,14,10,11,17,10,4,7,13,5,6,3,6,2,3,6,6,7,8,4,4,5,4,0,Uttar Pradesh-Amritpur,Amritpur
8,Udayveer,Independent,6,2,7,3,5,5,4,6,7,4,3,7,4,1,2,5,3,2,2,9,7,3,7,2,4,4,1,Uttar Pradesh-Amritpur,Amritpur
9,Dharmveer,Independent,14,4,6,8,8,10,3,12,11,12,11,14,13,10,6,7,7,5,8,13,9,20,12,18,8,7,0,Uttar Pradesh-Amritpur,Amritpur
10,Narendra Singh Yadav,Independent,153,97,306,188,208,175,145,226,85,151,248,301,174,398,397,573,507,291,225,1354,1324,1688,1329,884,515,405,40,Uttar Pradesh-Amritpur,Amritpur
11,Roshan Lal,Independent,36,31,30,45,22,33,19,25,26,21,34,40,47,18,24,19,27,19,25,17,19,19,12,32,21,18,5,Uttar Pradesh-Amritpur,Amritpur
12,SURESH KUMAR,Independent,123,71,37,39,51,30,65,650,193,29,25,145,99,23,22,25,24,60,72,53,73,15,19,46,15,110,4,Uttar Pradesh-Amritpur,Amritpur
13,Santosh,Independent,21,19,35,20,35,37,27,20,39,18,34,48,30,34,47,23,28,24,22,55,37,31,40,32,35,30,6,Uttar Pradesh-Amritpur,Amritpur
14,NOTA,None of the Above,36,17,32,46,53,29,35,40,42,38,47,59,41,31,28,35,32,42,30,29,30,26,21,38,35,38,11,Uttar Pradesh-Amritpur,Amritpur
