O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,MEHBOOB ALI,Samajwadi Party,4094,5328,4711,4707,4967,5147,5895,6561,6164,5759,5291,2783,2384,2150,5735,4279,3691,2318,4940,5817,5402,7371,4978,5531,6485,4554,823,Uttar Pradesh-Amroha,Amroha
2,MOHAMMED NAVED AYAZ,Bahujan Samaj Party,2213,2446,989,1334,458,511,957,1059,1261,1551,1157,433,490,2116,1261,1806,1709,1376,1193,1289,1664,701,1833,1133,987,2413,65,Uttar Pradesh-Amroha,Amroha
3,RAM SINGH,Bharatiya Janata Party,3055,414,1713,1723,2577,1380,1941,1189,655,1119,1589,3631,4984,3658,973,2484,3379,3591,2151,1372,2034,1372,3810,2152,1309,2828,206,Uttar Pradesh-Amroha,Amroha
4,SALEEM KHAN,Indian National Congress,41,16,23,31,22,19,18,24,20,14,26,26,35,32,15,41,58,70,25,24,41,30,59,31,23,62,4,Uttar Pradesh-Amroha,Amroha
5,MOH. AHSAN,Pachchasi Parivartan Samaj Party,10,2,4,7,6,2,5,12,3,6,4,7,5,15,6,8,9,14,17,5,8,3,13,9,4,16,2,Uttar Pradesh-Amroha,Amroha
6,ISLAM,Aam Aadmi Party,13,10,4,21,8,12,30,16,7,9,24,6,6,9,9,20,5,7,17,14,13,95,15,6,19,12,0,Uttar Pradesh-Amroha,Amroha
7,SHIVKUMAR,Aazad Samaj Party (Kanshi Ram),5,4,9,7,7,10,7,4,3,5,3,4,6,11,5,12,12,7,16,12,7,12,24,8,10,14,2,Uttar Pradesh-Amroha,Amroha
8,AKBAR ALI,Independent,11,9,2,8,4,2,8,6,0,4,3,9,15,19,13,19,9,10,7,7,15,8,23,6,1,19,0,Uttar Pradesh-Amroha,Amroha
9,SHAKINA,Independent,6,14,10,11,5,4,5,13,2,9,6,5,5,12,11,14,9,6,12,9,14,3,15,10,8,17,1,Uttar Pradesh-Amroha,Amroha
10,NOTA,None of the Above,50,31,37,54,42,38,48,40,35,32,29,34,45,37,47,26,23,21,32,39,39,26,44,42,29,41,7,Uttar Pradesh-Amroha,Amroha
