O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,OMVEER,Indian National Congress,83,107,108,86,103,80,93,88,92,94,105,57,69,42,49,73,84,114,54,48,82,99,141,80,121,55,95,4,Uttar Pradesh-Aonla,Aonla
2,DHARMPAL SINGH,Bharatiya Janata Party,2330,3012,2531,3241,2220,3214,4183,3330,4414,4370,2878,3286,3226,3257,2732,2761,3977,3779,3230,3548,4172,2879,3255,3183,2886,3291,3281,323,Uttar Pradesh-Aonla,Aonla
3,PT. RADHA KRISHAN SHARMA,Samajwadi Party,5059,3188,2916,3013,3085,2589,2185,1258,2721,1505,3037,2111,1709,2231,3550,1838,1158,2638,2400,1942,2566,3883,2998,3815,3708,1339,1656,132,Uttar Pradesh-Aonla,Aonla
4,LAXMAN PRASAD,Bahujan Samaj Party,319,827,474,365,947,1052,869,1131,546,634,661,870,467,490,428,433,684,1077,873,833,774,251,205,53,252,2040,900,272,Uttar Pradesh-Aonla,Aonla
5,MAKKHAN,Bahujan Mukti Party,11,14,25,13,17,21,34,16,24,17,27,20,8,14,11,10,30,13,13,9,71,21,10,6,27,22,26,1,Uttar Pradesh-Aonla,Aonla
6,MUEENUDDIN,Aazad Samaj Party (Kanshi Ram),11,13,12,14,13,10,12,13,10,10,15,20,17,49,7,11,6,12,8,21,9,6,5,7,14,11,7,3,Uttar Pradesh-Aonla,Aonla
7,RAM SINGH MAURYA,Aam Aadmi Party,10,25,86,16,90,38,36,8,82,76,46,375,18,22,11,20,16,32,21,25,27,15,32,45,117,23,46,6,Uttar Pradesh-Aonla,Aonla
8,SHIVADAS VERMA,Vikassheel Insaan Party,20,15,13,19,23,18,58,17,20,22,7,19,17,9,10,10,19,10,16,10,7,1,5,5,104,18,19,3,Uttar Pradesh-Aonla,Aonla
9,JEERAJ SINGH,Independent,56,113,143,85,93,190,99,162,85,130,540,511,330,288,503,950,270,65,59,47,82,79,55,47,223,110,39,16,Uttar Pradesh-Aonla,Aonla
10,DEVENDRA MAITHIL,Independent,58,66,91,99,54,160,63,36,108,115,60,87,62,40,59,42,50,45,22,55,24,10,20,15,39,56,51,3,Uttar Pradesh-Aonla,Aonla
11,NOTA,None of the Above,51,48,33,55,71,72,60,57,60,57,33,65,35,44,43,38,42,50,30,41,36,14,19,36,33,52,35,1,Uttar Pradesh-Aonla,Aonla
