O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,DR. OMVIR SINGH,Bahujan Samaj Party,791,350,414,335,99,242,522,501,667,904,1024,612,459,1308,673,1526,783,767,431,844,752,662,962,1094,827,1406,437,525,753,462,401,1025,278,220,22,0,Uttar Pradesh-Atrauli,Atrauli
2,DHARMENDRA KUMAR,Indian National Congress,48,44,42,54,24,30,20,27,33,20,24,20,44,39,23,42,28,45,32,213,36,72,47,30,23,38,20,32,42,30,14,26,35,19,8,1,Uttar Pradesh-Atrauli,Atrauli
3,VIRESH YADAV,Samajwadi Party,976,775,990,2212,2599,2884,1823,836,1766,1281,2968,3983,5245,3411,2847,1661,1901,1644,1624,1573,1486,1023,1692,1409,2237,2594,3795,3381,4556,4282,4238,3166,5234,2928,730,54,Uttar Pradesh-Atrauli,Atrauli
4,SANDEEP KUMAR SINGH,Bharatiya Janata Party,6494,7729,8010,2947,4143,3121,4462,4915,4943,4046,2772,1992,1356,2084,2557,2948,3859,4995,5038,5432,6117,5302,4608,3333,2962,3119,2357,1901,1717,1430,1471,1721,1435,2539,546,741,Uttar Pradesh-Atrauli,Atrauli
5,KAILASH KUMAR,Bahujan Mukti Party,50,47,37,5,12,15,29,36,31,23,15,14,26,14,14,16,20,24,29,30,29,29,14,24,21,26,29,16,29,25,12,16,18,31,2,3,Uttar Pradesh-Atrauli,Atrauli
6,KHEM SINGH,Aam Aadmi Party,11,8,15,5,13,10,8,10,19,4,2,4,5,6,6,11,14,13,8,33,67,13,7,7,8,5,3,10,5,1,0,2,3,6,1,1,Uttar Pradesh-Atrauli,Atrauli
7,BRIJESH KUMAR,Lok Dal,6,13,8,4,4,5,7,6,3,6,9,8,15,4,5,2,1,9,6,10,7,6,4,3,5,7,5,10,9,3,6,7,22,9,4,1,Uttar Pradesh-Atrauli,Atrauli
8,AKHALESH DEVI,Independent,8,12,22,7,6,3,73,10,11,11,9,12,12,4,6,6,7,17,10,8,11,12,3,3,6,8,7,12,7,7,6,10,10,10,1,0,Uttar Pradesh-Atrauli,Atrauli
9,MANJU DEVI URF MANJU RANI,Independent,15,31,34,17,9,18,22,20,28,17,44,35,47,31,31,25,25,18,19,19,26,23,24,11,30,30,44,34,36,23,38,20,52,40,8,3,Uttar Pradesh-Atrauli,Atrauli
10,RAHUL SINGH,Independent,8,13,18,6,6,14,10,9,13,12,14,25,52,29,18,7,17,15,14,11,10,13,7,16,23,21,21,31,26,22,30,22,35,21,5,1,Uttar Pradesh-Atrauli,Atrauli
11,SALEEM KHAN,Independent,16,16,16,12,22,22,14,7,9,10,14,28,41,28,19,11,17,13,11,12,11,7,15,11,12,18,26,18,23,15,18,22,21,19,4,0,Uttar Pradesh-Atrauli,Atrauli
12,NOTA,None of the Above,52,38,54,23,22,29,24,28,26,37,25,31,38,39,28,39,38,29,31,37,27,32,30,27,37,50,42,28,39,30,28,33,34,36,4,1,Uttar Pradesh-Atrauli,Atrauli
