O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,Gudiya Katheriya,Bharatiya Janata Party,1886,2518,3405,3565,3420,3777,2668,1752,2908,2359,2087,2628,2892,2077,2751,3143,1764,3114,2747,2463,2598,3226,5313,4529,4796,3011,2365,2671,2846,2853,Uttar Pradesh-Auraiya,Auraiya 
2,Jitendra Kumar Dohare,Samajwadi Party,2362,1977,1962,2737,2791,1907,2463,2401,1675,1437,2165,3238,1890,1240,2330,1739,2012,1797,2372,1953,2182,2011,2880,1581,1354,3452,4043,2258,1837,1328,Uttar Pradesh-Auraiya,Auraiya 
3,Ravi Shastri Dohrey,Bahujan Samaj Party,1575,1439,704,1458,859,1558,1249,1273,480,819,1595,1310,1374,1662,2331,1506,1989,1690,1609,1906,2255,1254,564,327,162,375,232,900,970,572,Uttar Pradesh-Auraiya,Auraiya 
4,Sarita Dohare,Indian National Congress,24,31,79,47,28,39,32,31,24,26,33,37,16,21,38,40,38,45,27,38,47,50,57,48,50,41,24,56,31,35,Uttar Pradesh-Auraiya,Auraiya 
5,Muhar Singh Ambadi,Bahujan Mukti Party,24,17,42,17,27,12,12,8,11,4,14,13,6,5,3,37,7,26,30,12,12,20,16,6,5,4,17,31,56,4,Uttar Pradesh-Auraiya,Auraiya 
6,Vinay Gautam Advocate,Aazad Samaj Party (Kanshi Ram),22,11,13,17,8,10,19,13,10,10,33,17,109,23,25,18,11,11,20,16,46,52,11,6,4,15,17,21,11,9,Uttar Pradesh-Auraiya,Auraiya 
7,Suneeta Devi,Aam Aadmi Party,11,6,5,7,6,20,4,28,0,4,5,12,12,18,12,41,7,5,15,6,12,10,11,8,8,14,7,7,4,7,Uttar Pradesh-Auraiya,Auraiya 
8,Anil Kumar,Independent,5,9,4,6,3,1,6,3,5,0,2,6,4,3,2,3,2,7,7,3,10,6,6,1,3,3,4,8,1,4,Uttar Pradesh-Auraiya,Auraiya 
9,Jayveer Singh,Independent,3,5,7,7,2,4,13,3,6,5,3,3,5,3,8,6,7,3,11,9,9,7,6,4,2,2,6,5,6,4,Uttar Pradesh-Auraiya,Auraiya 
10,Satish Chandra,Independent,17,20,7,8,9,20,11,25,9,2,17,10,16,8,26,14,25,15,16,14,15,6,10,5,1,6,6,6,10,6,Uttar Pradesh-Auraiya,Auraiya 
11,Sani Gautam,Independent,17,14,11,15,10,14,13,16,13,16,12,17,10,3,13,8,8,10,14,15,14,5,13,7,2,19,11,14,13,7,Uttar Pradesh-Auraiya,Auraiya 
12,NOTA,None of the Above,39,42,43,45,35,38,42,40,38,32,44,31,56,36,62,40,30,32,39,31,33,35,44,40,33,45,41,56,31,35,Uttar Pradesh-Auraiya,Auraiya 
