O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,state_city,constituency_from_link
1,CHANDAN SINGH,Bahujan Samaj Party,997,950,1184,377,178,444,1067,1045,1074,771,1228,858,1383,1264,933,992,1302,1199,1324,1091,499,577,1236,17,Uttar Pradesh-Ayah Shah,Ayah Shah
2,Vikas Gupta,Bharatiya Janata Party,2925,2817,3089,3107,742,4027,3339,3732,3207,2962,3884,2963,3413,3800,2921,3397,3061,3160,2086,1998,3872,3213,2817,541,Uttar Pradesh-Ayah Shah,Ayah Shah
3,VISHAMBHAR PRASAD NISHAD,Samajwadi Party,2702,2711,2729,2095,4047,2029,2333,1343,2488,2865,2232,2847,2630,2634,2682,2519,2030,2435,3529,2764,2312,2079,1570,210,Uttar Pradesh-Ayah Shah,Ayah Shah
4,SUSHIL SINGH PATEL,Communist Party of India,34,52,88,41,33,68,50,77,77,76,83,76,74,88,52,90,70,75,58,66,98,103,70,6,Uttar Pradesh-Ayah Shah,Ayah Shah
5,HEMLATA,Indian National Congress,110,141,468,68,23,38,67,42,33,53,62,133,48,55,34,43,33,46,75,59,35,30,47,0,Uttar Pradesh-Ayah Shah,Ayah Shah
6,NARENDARA KUMAR,Lok Jan Shakti Party,6,9,25,9,8,16,15,10,12,12,9,12,18,9,9,16,17,20,16,11,12,16,10,0,Uttar Pradesh-Ayah Shah,Ayah Shah
7,LAL SINGH,Peoples Party of India (Democratic),26,17,25,27,14,37,33,24,26,21,20,17,29,35,12,53,34,32,25,30,45,36,27,0,Uttar Pradesh-Ayah Shah,Ayah Shah
8,VINOD KUMAR,Rashtriya Krantikari Samajwadi Party,9,8,14,15,5,15,15,15,15,15,15,17,20,19,8,16,17,16,18,13,22,24,12,1,Uttar Pradesh-Ayah Shah,Ayah Shah
9,SHEELAM DEVI,Bhartiya Shakti Chetna Party,19,9,16,21,7,25,14,20,43,19,22,36,20,44,18,31,30,32,11,14,27,23,14,3,Uttar Pradesh-Ayah Shah,Ayah Shah
10,ANURAG SINGH,Independent,30,17,29,30,23,57,30,22,48,33,25,24,38,34,27,31,41,36,62,37,322,56,29,2,Uttar Pradesh-Ayah Shah,Ayah Shah
11,SHYAMRANI,Independent,22,34,24,23,17,39,31,35,35,25,53,46,24,46,25,59,38,38,25,22,45,48,28,0,Uttar Pradesh-Ayah Shah,Ayah Shah
12,NOTA,None of the Above,56,62,76,69,48,102,77,97,73,89,82,68,72,107,67,129,101,82,100,79,73,99,73,3,Uttar Pradesh-Ayah Shah,Ayah Shah
