O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,AKHILESH KUMAR MISHRA,Bharatiya Janata Party,1596,1719,2608,3229,2512,3818,3914,1208,2647,3586,2323,2931,3670,4305,3544,3078,3234,3346,1845,1989,2592,3486,1186,1543,1987,1563,2058,2686,2208,2158,2628,1862,936,Uttar Pradesh-Azamgarh,Azamgarh
2,DURGA PRASAD YADAV,Samajwadi Party,3478,4088,3216,2688,3224,2463,3591,3556,3426,1973,3624,3308,3190,2113,1782,2682,3181,2551,3799,3850,2588,2890,3740,2473,2901,4105,2908,3172,3112,3176,2263,2834,1169,Uttar Pradesh-Azamgarh,Azamgarh
3,PRAVEEN KUMAR SINGH,Indian National Congress,67,76,68,86,74,46,79,43,48,61,75,64,91,114,83,58,55,87,55,59,39,54,39,54,115,45,53,50,79,78,74,60,28,Uttar Pradesh-Azamgarh,Azamgarh
4,SUSHIL KUMAR SINGH,Bahujan Samaj Party,1576,1551,1358,1550,1447,1262,825,1405,1539,538,129,187,274,637,255,1076,1127,714,1044,1636,1345,731,1888,1326,1699,1313,1705,1566,1322,1559,1678,1899,817,Uttar Pradesh-Azamgarh,Azamgarh
5,RISHIKANT YADAV,Aazad Samaj Party (Kanshi Ram),20,13,22,24,24,10,17,30,24,12,3,6,10,8,9,15,34,13,25,24,26,6,32,24,24,21,26,37,15,20,32,21,13,Uttar Pradesh-Azamgarh,Azamgarh
6,KAMAR KAMAL,All India Majlis-E-Ittehadul Muslimeen,51,212,74,63,103,19,47,409,79,311,618,685,245,49,34,38,35,96,185,105,17,170,135,951,17,42,629,18,5,35,14,19,5,Uttar Pradesh-Azamgarh,Azamgarh
7,KRIPA SHANKAR PATHAK,Aam Aadmi Party,20,24,29,13,27,8,21,11,20,17,6,7,11,6,11,14,25,13,8,26,26,46,21,6,19,19,21,27,13,11,21,16,14,Uttar Pradesh-Azamgarh,Azamgarh
8,SURYANATH,Bhartiya Gadar Party (S),10,28,32,20,24,9,24,15,17,9,5,4,5,4,4,18,14,8,12,16,13,12,14,10,15,18,20,24,9,13,14,13,3,Uttar Pradesh-Azamgarh,Azamgarh
9,RAJIV KUMAR SINGH,Independent,7,17,13,19,28,24,22,23,29,12,9,4,12,7,20,22,14,13,23,17,37,19,29,21,26,18,20,30,10,18,16,10,11,Uttar Pradesh-Azamgarh,Azamgarh
10,NOTA,None of the Above,48,58,48,50,42,36,77,47,72,30,23,25,35,41,18,53,51,37,43,55,41,30,45,37,59,45,54,83,48,41,44,36,14,Uttar Pradesh-Azamgarh,Azamgarh
