O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,KESHAV PRASAD,Bharatiya Janata Party,1958,1582,1628,1522,1603,1149,961,1486,909,1068,1119,888,595,749,800,1066,884,810,1108,899,1037,1297,1262,813,1116,1120,664,166,Uttar Pradesh-Babaganj,Babaganj
2,GIRISH CHANDRA,Samajwadi Party,1486,1369,1671,1764,2182,2804,2248,1421,2084,2048,1659,2325,2292,2051,1852,1604,2425,1857,2469,2229,1626,1951,1685,1971,1398,1324,1098,215,Uttar Pradesh-Babaganj,Babaganj
3,VEENA RANI,Indian National Congress,205,50,51,45,24,69,40,61,51,47,59,52,30,49,56,52,30,46,48,50,54,40,51,60,44,66,59,3,Uttar Pradesh-Babaganj,Babaganj
4,SUSHIL KUMAR,Bahujan Samaj Party,307,163,186,123,167,204,154,160,226,189,251,251,256,144,397,388,332,390,381,463,795,440,723,686,247,330,333,5,Uttar Pradesh-Babaganj,Babaganj
5,RAM PRATAP SAROJ,Bahujan Mukti Party,30,27,37,25,17,57,32,66,25,29,29,41,23,25,41,101,27,61,68,40,28,60,58,40,154,60,40,1,Uttar Pradesh-Babaganj,Babaganj
6,VIJAY PAL SAROJ,Lok Janshakti Party(Ram Vilas),89,72,92,91,69,77,109,141,85,52,109,69,77,55,44,72,49,48,109,43,58,62,81,79,59,50,71,4,Uttar Pradesh-Babaganj,Babaganj
7,VINOD KUMAR,Jansatta Dal Loktantrik,2281,2085,2669,2655,2574,3161,2890,3224,3144,2188,2365,2832,2647,2748,2431,2147,2401,2103,2888,2319,1744,2694,2806,2776,1891,1675,1503,155,Uttar Pradesh-Babaganj,Babaganj
8,VINOD KUMAR,Independent,58,33,64,42,38,48,47,39,47,33,36,34,35,29,34,31,27,32,40,42,39,41,41,43,27,35,30,5,Uttar Pradesh-Babaganj,Babaganj
9,SITA RAM,Independent,52,43,52,45,31,59,28,49,44,34,35,28,41,42,37,37,19,52,49,58,44,45,38,37,41,32,42,6,Uttar Pradesh-Babaganj,Babaganj
10,NOTA,None of the Above,133,98,102,89,63,104,63,71,75,63,57,86,94,46,57,60,30,50,68,90,73,58,73,53,61,74,59,5,Uttar Pradesh-Babaganj,Babaganj
