O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,AJAY KUMAR,Bharatiya Janata Party,3219,3019,3647,2297,3145,3943,2034,2159,2404,2957,2860,2329,2253,3314,2395,2856,2648,1815,2961,2213,2789,1758,2584,1569,1932,2551,3056,1350,Uttar Pradesh-Baberu,Baberu
2,GAJENDRA SINGH PATEL,Indian National Congress,88,112,75,174,87,101,40,61,55,98,109,70,94,77,38,55,68,38,41,54,68,51,68,74,71,84,114,40,Uttar Pradesh-Baberu,Baberu
3,Dr. RAM CHANDRA SARAS,Communist Party of India,64,48,77,41,28,47,44,42,49,89,66,44,65,51,51,55,64,45,53,53,61,72,61,51,75,94,73,25,Uttar Pradesh-Baberu,Baberu
4,RAMSEVAK SHUKLA,Bahujan Samaj Party,961,1116,743,1275,1503,1793,1702,1250,1071,1252,1919,1343,1140,1147,824,1021,1260,1718,1622,1488,2112,1022,949,1438,1329,1807,1113,974,Uttar Pradesh-Baberu,Baberu
5,VISHAMBHAR SINGH YADAV,Samajwadi Party,2779,2212,2389,2519,2318,2215,3384,4374,3675,2674,2716,2730,2720,2446,2614,2777,3695,3334,2915,2921,2937,4405,2776,2818,2702,2376,2297,1375,Uttar Pradesh-Baberu,Baberu
6,ASHOK KUMAR,Jan Adhikar Party,58,113,54,439,181,56,62,133,163,83,119,389,280,85,37,41,57,135,111,144,202,247,131,282,350,170,300,27,Uttar Pradesh-Baberu,Baberu
7,JAGROOP BHASKAR,Ambedkar Samaj Party,17,18,18,20,23,16,17,18,21,27,47,18,28,17,14,22,28,21,17,16,19,15,23,23,41,18,18,5,Uttar Pradesh-Baberu,Baberu
8,JAYPAL,Bharat Swabhiman Party,15,19,12,16,8,14,10,16,20,20,24,19,29,24,8,30,29,25,16,16,17,18,20,19,17,14,19,10,Uttar Pradesh-Baberu,Baberu
9,JIYALAL DHURIYA,Bhartiya Shakti Chetna Party,30,24,23,19,42,18,22,31,24,21,25,39,37,24,17,37,22,27,24,60,30,40,29,22,23,53,16,24,Uttar Pradesh-Baberu,Baberu
10,RAJBAHADUR KUSHWAHA,RASHTRIYA VIKLANG PARTY,25,35,46,27,29,16,22,26,23,35,36,24,18,27,32,32,29,29,22,30,31,13,17,31,21,36,20,16,Uttar Pradesh-Baberu,Baberu
11,SAMTA DEVI,Bahujan Mukti Party,31,23,37,28,29,26,49,21,35,32,20,31,24,26,24,20,41,24,24,19,25,29,31,30,54,35,35,14,Uttar Pradesh-Baberu,Baberu
12,SIMMI BURMAN,Aazad Samaj Party (Kanshi Ram),85,88,51,79,87,63,30,68,82,76,72,92,70,36,63,58,83,61,65,50,126,67,50,114,39,57,113,17,Uttar Pradesh-Baberu,Baberu
13,NOTA,None of the Above,134,101,147,100,82,72,81,101,114,94,145,93,100,106,110,121,125,86,105,124,111,120,125,107,110,108,171,51,Uttar Pradesh-Baberu,Baberu
