O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,Chandra Shekher Tiwari,Indian National Congress,56,44,56,69,69,46,87,111,52,72,82,47,67,77,69,42,82,64,63,164,138,79,54,80,148,36,97,199,59,4,Uttar Pradesh-Babina,Babina
2,Dasharath Singh Rajpoot,Bahujan Samaj Party,750,1171,288,855,1296,1272,737,751,289,139,973,1706,1390,1845,1960,1380,1145,1216,1425,606,1333,2323,1699,1225,404,896,995,292,59,4,Uttar Pradesh-Babina,Babina
3,Yashpal Singh Yadav,Samajwadi Party,3234,3206,1944,2056,3238,3407,1714,3624,2419,2084,3529,2097,2733,3779,1769,3269,2247,3414,2785,3256,1564,1555,2672,2887,2247,2675,1913,1479,401,287,Uttar Pradesh-Babina,Babina
4,Rajeev Singh ''Parichha'',Bharatiya Janata Party,5151,3734,4921,4875,4024,3945,3871,3984,5415,5824,4095,3797,3257,2819,3790,4177,5406,3460,3626,2993,3879,4262,4381,4705,4328,3809,4008,4102,916,384,Uttar Pradesh-Babina,Babina
5,Keshav Singh,Aazad Samaj Party (Kanshi Ram),54,50,37,71,46,63,44,66,76,130,72,47,74,45,78,85,88,65,94,26,36,63,85,81,43,73,98,15,5,3,Uttar Pradesh-Babina,Babina
6,Rani Devi,Jan Adhikar Party,94,26,31,119,44,139,184,289,189,431,228,29,226,91,40,23,58,56,35,36,15,35,43,30,20,97,14,19,6,0,Uttar Pradesh-Babina,Babina
7,Ramsingh Pal,Rashtriya Samaj Paksha,18,8,11,23,10,36,12,40,27,45,18,16,27,16,19,15,23,21,25,8,6,18,29,18,12,18,15,4,0,0,Uttar Pradesh-Babina,Babina
8,Shiroman Singh Rajpoot,Shiv Sena,17,9,8,18,17,20,9,14,26,26,19,27,20,12,27,26,19,27,22,9,11,19,27,19,11,21,26,0,1,1,Uttar Pradesh-Babina,Babina
9,Jayram Pal,Independent,36,22,9,37,40,37,21,32,44,46,39,26,40,23,34,30,41,36,43,21,27,40,53,51,26,31,35,1,0,0,Uttar Pradesh-Babina,Babina
10,Rajkumar,Independent,33,20,18,26,28,31,16,25,17,28,25,18,34,36,21,22,37,24,31,23,12,15,37,27,22,28,29,4,1,0,Uttar Pradesh-Babina,Babina
11,Hareeom,Independent,29,17,16,28,23,16,11,27,26,31,23,18,30,28,31,20,28,23,41,11,12,25,24,24,21,31,25,0,1,2,Uttar Pradesh-Babina,Babina
12,NOTA,None of the Above,62,36,46,75,56,67,50,84,51,97,49,46,54,50,75,87,101,70,84,59,62,76,70,86,51,70,67,39,6,2,Uttar Pradesh-Babina,Babina
