O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,LAJWANTI KURIL,Bahujan Samaj Party,269,448,863,628,656,636,672,471,546,956,802,733,734,215,565,358,423,351,390,368,226,381,335,411,278,440,322,168,41,Uttar Pradesh-Bachhrawan,Bachhrawan 
2,SHYAM SUNDER,Samajwadi Party,2203,3694,2315,2143,2972,2423,2712,2489,2582,2328,2614,2877,1946,2058,1826,1842,1853,1632,2115,2019,2468,2492,1174,2023,2080,2839,3352,2114,196,Uttar Pradesh-Bachhrawan,Bachhrawan 
3,SUSHIL KUMAR PASI,Indian National Congress,1556,1716,2205,2847,2942,1760,2041,1846,2994,2714,2967,2351,2628,2506,2181,2137,1714,1392,1797,1812,2140,1456,1623,1604,1285,1961,1533,838,208,Uttar Pradesh-Bachhrawan,Bachhrawan 
4,CHANDRASHEKHAR,Moulik Adhikar Party,93,80,97,94,87,46,71,51,106,78,76,94,102,145,90,72,77,70,95,106,78,90,83,91,71,91,102,68,12,Uttar Pradesh-Bachhrawan,Bachhrawan 
5,DEEPANKER,Aam Aadmi Party,30,34,33,35,27,39,16,18,15,33,24,22,24,31,26,20,34,34,39,36,26,35,33,42,39,209,33,24,6,Uttar Pradesh-Bachhrawan,Bachhrawan 
6,BABULAL,Sabka Dal United,42,34,35,14,21,23,19,37,28,36,137,87,34,45,291,74,50,373,227,54,43,115,161,56,77,46,25,28,3,Uttar Pradesh-Bachhrawan,Bachhrawan 
7,LAXMIKANT,Apna Dal (Soneylal),3280,2944,2816,1839,1831,2885,2408,1525,1633,1549,2108,1935,1563,2246,1732,2727,2612,2395,2671,2570,2398,2648,2413,3010,1853,2036,1964,1110,115,Uttar Pradesh-Bachhrawan,Bachhrawan 
8,OM PRAKASH,Independent,58,49,54,31,36,30,30,47,49,39,40,38,38,42,51,42,37,57,57,61,40,74,49,70,46,56,63,30,2,Uttar Pradesh-Bachhrawan,Bachhrawan 
9,POOJA JAISAWAR,Independent,48,37,39,28,31,20,38,22,41,28,28,25,51,39,40,42,37,49,37,44,40,55,39,51,31,62,54,37,2,Uttar Pradesh-Bachhrawan,Bachhrawan 
10,NOTA,None of the Above,87,71,77,54,75,56,74,56,78,64,63,76,85,66,83,73,67,79,101,91,88,107,71,89,77,105,105,64,16,Uttar Pradesh-Bachhrawan,Bachhrawan 
