O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,ARTI SINGH,Indian National Congress,42,48,57,55,66,69,53,74,63,59,52,73,62,59,65,47,77,46,70,61,50,34,42,51,77,69,36,54,30,Uttar Pradesh-Badlapur,Badlapur
2,OMPRAKASH BABA DUBEY,Samajwadi Party,2427,3900,2244,2417,2578,3184,1689,2389,3319,2354,2537,2975,3346,3228,2253,2523,2958,2528,2571,2650,3273,2345,2559,2845,3698,2174,3633,2865,2481,Uttar Pradesh-Badlapur,Badlapur
3,MANOJ,Bahujan Samaj Party,1151,1404,1260,1065,1269,1362,1246,1193,1609,1660,1677,1548,989,944,1364,1033,1034,893,1394,1506,1350,485,1292,1033,602,1447,736,1451,660,Uttar Pradesh-Badlapur,Badlapur
4,RAMESH CHANDRA MISHRA,Bharatiya Janata Party,3065,2378,2755,3493,2456,2738,3486,2810,2691,3557,3730,3132,3065,2675,3115,2530,2966,3116,3372,3063,2106,3335,2454,2484,2341,2659,2379,2828,1178,Uttar Pradesh-Badlapur,Badlapur
5,ANIL KUMAR SINGH,Hum Sabki Party,29,46,29,42,29,29,55,36,34,45,52,48,44,29,52,40,38,31,46,40,38,39,42,32,37,21,35,32,17,Uttar Pradesh-Badlapur,Badlapur
6,RAJESH VISHWAKARMA,Jan Adhikar Party,39,66,32,53,49,20,17,16,39,15,16,66,81,27,7,23,23,7,16,12,9,7,11,12,8,8,2,18,18,Uttar Pradesh-Badlapur,Badlapur
7,RAM GOVIND SINGH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),13,87,6,48,68,67,5,5,11,4,7,51,5,2,7,4,8,4,21,5,5,7,8,19,26,11,17,2,3,Uttar Pradesh-Badlapur,Badlapur
8,RAHUL SHARMA,Aam Aadmi Party,9,23,12,11,12,11,9,10,6,18,11,7,12,7,11,7,14,8,216,2,5,11,13,10,12,11,8,10,8,Uttar Pradesh-Badlapur,Badlapur
9,SEEMA JAISWAL,Rashtriya Samaj Paksha,22,13,16,14,13,16,10,18,8,6,20,24,20,14,7,7,13,14,12,22,14,7,4,10,9,15,9,16,10,Uttar Pradesh-Badlapur,Badlapur
10,SUMIT SINGH,Vikassheel Insaan Party,69,12,5,13,21,11,53,16,8,12,10,28,32,17,12,7,12,12,12,12,27,5,6,8,42,17,51,19,11,Uttar Pradesh-Badlapur,Badlapur
11,SUSHMA MISHRA,Bhartiya Dharmanirpeksha Party,24,24,10,11,16,9,17,15,12,25,15,23,33,13,23,14,19,27,17,12,14,23,18,15,5,20,23,8,7,Uttar Pradesh-Badlapur,Badlapur
12,SUBEDAR GAUTAM,Bharatrashtra Democratic Party,28,21,27,27,9,19,19,27,24,24,38,39,29,26,38,18,23,28,18,17,32,25,22,16,10,24,23,22,15,Uttar Pradesh-Badlapur,Badlapur
13,SABHAJEET,Independent,64,44,31,53,45,34,18,38,29,18,30,47,38,32,47,22,34,21,23,24,31,13,29,19,23,35,16,22,24,Uttar Pradesh-Badlapur,Badlapur
14,HARI PRASAD SHUKLA,Independent,27,31,20,19,15,22,11,33,41,23,28,35,42,31,44,16,35,22,28,24,23,26,28,32,22,22,11,25,24,Uttar Pradesh-Badlapur,Badlapur
15,NOTA,None of the Above,25,40,34,23,37,26,15,26,29,36,49,60,38,28,38,25,28,29,33,28,30,29,30,29,32,26,18,24,24,Uttar Pradesh-Badlapur,Badlapur
