O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,Anil,Indian National Congress,55,58,60,88,37,61,44,23,45,33,35,50,26,54,19,28,65,58,30,102,75,38,27,41,46,4,12,Uttar Pradesh-Baghpat,Baghpat
2,Arun Kasana,Bahujan Samaj Party,83,38,152,415,616,617,574,577,538,601,951,331,476,236,292,794,245,692,64,1014,713,279,620,782,926,97,81,Uttar Pradesh-Baghpat,Baghpat
3,Mohd Ahmed Hameed,Rashtriya Lok Dal,6775,4902,3439,1533,1646,3199,5955,5211,5199,4503,4140,3082,3373,2587,3844,3434,3630,3472,4486,3138,2818,3383,7200,1271,1738,88,178,Uttar Pradesh-Baghpat,Baghpat
4,Yogesh Dhama,Bharatiya Janata Party,2426,3361,6179,6053,5069,4842,1785,2855,3812,3421,3075,4453,4382,4339,4183,3683,3870,3456,3449,3913,4949,3295,1555,5856,5743,366,269,Uttar Pradesh-Baghpat,Baghpat
5,Naveen Kumar,Aam Aadmi Party,25,21,50,52,138,24,25,21,32,49,24,24,45,21,35,33,23,49,21,26,20,24,14,120,61,2,19,Uttar Pradesh-Baghpat,Baghpat
6,Parmod Kumar Goswami,Secular Inqlab Party,5,4,5,2,8,6,3,4,3,7,4,2,7,14,2,11,7,23,7,12,3,19,3,6,13,0,1,Uttar Pradesh-Baghpat,Baghpat
7,Rasid,Peace Party,10,0,12,5,14,4,4,5,13,4,8,4,6,4,6,2,6,20,7,26,9,4,7,10,6,0,1,Uttar Pradesh-Baghpat,Baghpat
8,Vinod Kumar,Indian Nationalist Alliance Party (India),6,4,17,4,8,9,10,7,6,5,3,7,8,5,7,7,6,7,36,4,6,18,3,15,9,1,1,Uttar Pradesh-Baghpat,Baghpat
9,Maharaj Singh,Independent,15,13,16,11,19,19,16,17,14,13,13,12,17,12,18,18,10,8,16,9,10,13,11,17,9,4,3,Uttar Pradesh-Baghpat,Baghpat
10,Renu,Independent,46,60,32,20,39,53,56,33,34,38,34,24,25,18,21,36,29,29,29,30,38,31,59,27,23,2,3,Uttar Pradesh-Baghpat,Baghpat
11,Vinay Kasana,Independent,23,15,27,18,24,37,29,23,21,32,22,23,15,13,8,17,24,31,17,14,20,12,14,13,15,1,6,Uttar Pradesh-Baghpat,Baghpat
12,NOTA,None of the Above,31,31,36,15,44,35,33,29,17,25,22,9,16,14,14,27,20,17,28,21,11,17,17,25,11,2,5,Uttar Pradesh-Baghpat,Baghpat
