O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,state_city,constituency_from_link
1,GOMTI YADAV,Samajwadi Party,3176,2961,2934,2967,3042,2345,2969,3357,3109,2677,2603,2935,1555,2795,4684,4442,4546,2071,3099,3510,3548,5018,3186,3760,3898,2303,3562,3133,2570,2106,2777,2007,3802,4039,2967,3007,4457,1643,Uttar Pradesh-Bakshi Kaa Talab,Bakshi Kaa Talab
2,YOGESH SHUKLA,Bharatiya Janata Party,3885,3696,3095,3755,4965,4550,4427,2542,4117,3795,3843,4076,4918,4178,2951,3542,3175,4956,4495,4388,3161,2487,2456,3874,3776,4215,3953,4035,4657,5447,4390,4458,3797,3112,4312,4593,2830,2487,Uttar Pradesh-Bakshi Kaa Talab,Bakshi Kaa Talab
3,LALAN KUMAR,Indian National Congress,321,361,280,224,572,525,245,248,794,605,222,194,372,365,184,165,101,126,142,153,151,322,78,378,167,103,143,89,125,174,102,156,242,120,120,138,151,76,Uttar Pradesh-Bakshi Kaa Talab,Bakshi Kaa Talab
4,SALAUDDIN 'MUSSAN',Bahujan Samaj Party,1318,1299,1753,1059,636,663,705,1198,1244,1010,1298,1296,1346,1940,1149,927,693,445,737,842,1223,1230,1034,1340,1117,1052,559,691,402,250,394,277,654,1030,557,771,587,337,Uttar Pradesh-Bakshi Kaa Talab,Bakshi Kaa Talab
5,ARVIND KUMAR TIWARI,Lok Bandhu Party,17,16,33,9,19,6,14,17,18,12,25,11,15,16,24,10,9,5,11,12,8,14,9,28,32,9,9,25,4,3,6,7,12,15,7,10,6,10,Uttar Pradesh-Bakshi Kaa Talab,Bakshi Kaa Talab
6,RISHI JAISWAL 'GAPPU',Gandhiyan Peoples Party,17,21,22,23,27,18,19,12,15,17,17,20,19,20,28,16,9,5,20,14,17,15,17,23,18,11,10,17,14,0,8,6,13,40,12,12,20,9,Uttar Pradesh-Bakshi Kaa Talab,Bakshi Kaa Talab
7,KISHOR KUMAR,Kishore Raj Party,12,7,15,6,18,11,7,5,17,9,5,6,11,19,13,8,6,5,7,6,8,10,3,14,11,6,7,5,4,9,4,7,5,9,4,8,8,6,Uttar Pradesh-Bakshi Kaa Talab,Bakshi Kaa Talab
8,PANKAJ SINGH ADVOCATE,Rashtriya Rashtrawadi Party,8,11,13,5,13,11,4,4,11,10,14,19,55,11,6,10,4,7,8,20,13,9,8,19,9,5,9,4,5,4,1,1,4,8,3,7,5,3,Uttar Pradesh-Bakshi Kaa Talab,Bakshi Kaa Talab
9,BALARAM VERMA LODHI,Samdarshi Samaj Party,13,10,24,14,22,29,16,12,24,14,9,22,23,65,20,33,9,16,12,22,17,13,5,18,16,8,8,8,7,4,7,7,9,8,6,3,9,4,Uttar Pradesh-Bakshi Kaa Talab,Bakshi Kaa Talab
10,VIPIN TYAGI,Mera Adhikaar Rashtriya Dal,20,9,29,16,17,20,12,20,25,15,11,26,14,17,14,4,9,10,17,11,15,16,7,13,12,15,7,2,4,2,8,5,12,10,4,10,17,8,Uttar Pradesh-Bakshi Kaa Talab,Bakshi Kaa Talab
11,SHYAMU VERMA,Sabka Dal United,18,14,25,14,32,36,16,16,31,19,19,23,23,30,22,19,14,11,21,17,36,9,10,20,15,14,4,5,15,2,2,7,9,14,6,16,22,8,Uttar Pradesh-Bakshi Kaa Talab,Bakshi Kaa Talab
12,SUNIL KUMAR Alias S. K. SINGHANIYA,Aazad Samaj Party (Kanshi Ram),38,30,49,38,41,38,36,23,40,27,60,43,33,36,29,33,37,18,31,34,24,17,19,42,16,22,20,36,21,9,8,12,14,18,14,27,17,14,Uttar Pradesh-Bakshi Kaa Talab,Bakshi Kaa Talab
13,NOTA,None of the Above,52,71,67,59,67,64,43,61,82,52,46,75,70,62,46,54,55,53,46,54,63,64,50,84,55,59,51,41,45,93,55,45,48,49,52,64,58,44,Uttar Pradesh-Bakshi Kaa Talab,Bakshi Kaa Talab
