O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,Tilak Chandra,Bahujan Samaj Party,2160,849,1251,1470,1525,1540,908,1091,1156,1437,1815,1249,1395,1533,1364,1871,1602,1425,843,1297,1345,1510,442,1165,1694,1165,1994,1446,1184,1383,1002,313,Uttar Pradesh-Balamau,Balamau 
2,Rampal Verma,Bharatiya Janata Party,1661,2794,2392,2993,2558,3397,3585,3232,2372,2492,2101,2367,2574,3312,2160,2351,3016,2208,3765,2566,2358,2104,2339,2529,1849,3370,2636,2429,2399,2803,2051,1060,Uttar Pradesh-Balamau,Balamau 
3,Rambali Verma,Samajwadi Party,2033,1977,2422,1500,1296,1121,1039,1249,1248,1811,1454,1785,1872,1702,1913,1983,1621,1874,1716,1985,1767,2095,2925,1830,1659,2294,1947,1364,1409,1514,2315,522,Uttar Pradesh-Balamau,Balamau 
4,Surendra Kumar,Indian National Congress,119,75,94,85,95,109,73,77,146,209,155,186,439,133,339,223,64,100,109,91,100,122,67,121,218,69,73,93,100,70,131,21,Uttar Pradesh-Balamau,Balamau 
5,Piyush Premi,Aam Aadmi Party,49,26,54,199,129,75,35,70,19,61,47,133,39,23,27,58,22,45,13,33,68,38,31,42,27,33,40,31,37,34,37,4,Uttar Pradesh-Balamau,Balamau 
6,Ramkrishna,Bhartiya Shakti Chetna Party,14,5,27,24,24,29,30,28,12,14,13,21,12,16,11,21,26,21,9,15,9,7,9,16,15,23,29,15,14,37,16,1,Uttar Pradesh-Balamau,Balamau 
7,Anita,Independent,12,7,26,61,27,39,23,19,16,25,15,19,17,8,21,24,11,12,6,12,11,18,5,14,20,25,15,18,21,20,14,4,Uttar Pradesh-Balamau,Balamau 
8,Manoj Kumar Verma,Independent,21,17,26,26,20,23,25,16,24,34,15,27,18,18,29,19,17,23,10,14,15,24,5,10,27,24,26,21,16,26,20,5,Uttar Pradesh-Balamau,Balamau 
9,Sushila Devi,Independent,26,30,42,45,58,59,52,49,37,40,38,58,32,34,35,151,36,324,27,29,28,35,23,17,43,49,33,29,29,41,21,7,Uttar Pradesh-Balamau,Balamau 
10,NOTA,None of the Above,70,56,73,62,78,93,81,63,72,91,43,76,59,66,73,72,59,63,45,56,65,66,36,69,62,71,69,56,50,70,58,23,Uttar Pradesh-Balamau,Balamau 
