O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,Omprakash,Indian National Congress,87,51,68,75,90,65,43,48,53,95,74,69,91,76,81,63,66,72,62,88,76,89,104,74,67,99,61,66,67,3,4,9,Uttar Pradesh-Ballia Nagar,Ballia Nagar
2,Daya Shankar Singh,Bharatiya Janata Party,3768,3998,4310,3764,3637,3173,2275,3637,3071,5133,5275,3602,4392,4326,3443,2336,3357,3338,3097,3406,3509,3740,2971,3186,2464,3712,2930,3011,3230,185,355,334,Uttar Pradesh-Ballia Nagar,Ballia Nagar
3,NARAD RAI,Samajwadi Party,3686,2205,2404,1344,1927,2917,3932,2589,4203,2368,2206,2964,1530,2510,3476,2892,2278,3105,3092,2657,2796,2393,2255,2397,3257,2074,2288,2031,2293,31,146,110,Uttar Pradesh-Ballia Nagar,Ballia Nagar
4,Shivdas Prasad Verma,Bahujan Samaj Party,379,198,403,151,186,577,489,320,222,103,69,376,249,735,389,240,288,441,111,582,501,615,426,409,283,290,272,311,302,0,13,6,Uttar Pradesh-Ballia Nagar,Ballia Nagar
5,AJAY S/O KEDAR,Aam Aadmi Party,11,8,25,7,11,23,15,80,18,15,7,11,20,17,17,42,14,14,12,23,12,16,10,11,9,16,11,11,22,2,0,2,Uttar Pradesh-Ballia Nagar,Ballia Nagar
6,AJAY S/O RAJNARAYAN,Swadesh Jan Sewak Party,11,16,7,2,8,10,15,10,5,4,2,1,5,6,9,25,11,10,10,16,10,9,11,3,8,13,12,9,9,4,0,1,Uttar Pradesh-Ballia Nagar,Ballia Nagar
7,Jitendra Tiwari,Vikassheel Insaan Party,123,60,12,31,32,15,4,100,5,9,22,4,48,36,255,1218,268,105,58,360,31,110,200,147,234,56,91,34,180,5,2,2,Uttar Pradesh-Ballia Nagar,Ballia Nagar
8,Prakash Kumar,All India Forward Bloc,6,3,15,3,5,4,5,8,5,5,8,6,8,10,13,12,11,7,9,17,8,7,7,13,8,9,9,2,8,0,0,2,Uttar Pradesh-Ballia Nagar,Ballia Nagar
9,M.Shamim Khan,All India Majlis-E-Ittehadul Muslimeen,41,13,13,3,12,41,70,14,78,14,6,29,16,18,14,20,16,5,57,23,32,19,45,17,7,13,11,12,21,0,0,2,Uttar Pradesh-Ballia Nagar,Ballia Nagar
10,Shankar Ram Rawat,VANCHITSAMAJ INSAAF PARTY,8,2,5,2,6,6,9,12,15,8,7,4,10,7,11,15,11,9,4,9,2,9,9,14,9,12,6,4,8,0,1,0,Uttar Pradesh-Ballia Nagar,Ballia Nagar
11,SAGAR SINGH,Lok Janshakti Party(Ram Vilas),13,8,9,4,5,4,6,9,10,7,30,13,10,10,20,37,13,12,7,13,9,5,18,21,14,8,10,7,11,0,1,0,Uttar Pradesh-Ballia Nagar,Ballia Nagar
12,Arjun Kumar,Independent,18,12,14,5,7,11,8,14,6,6,10,12,14,9,15,18,14,17,13,16,13,16,18,5,16,14,16,8,29,2,1,3,Uttar Pradesh-Ballia Nagar,Ballia Nagar
13,Dharmendra Kumar,Independent,31,20,19,7,13,6,18,24,28,8,35,18,20,21,34,22,21,39,51,27,16,24,18,23,43,22,35,20,33,0,3,1,Uttar Pradesh-Ballia Nagar,Ballia Nagar
14,Rama Shankar Tiwari,Independent,31,33,27,8,26,14,17,29,20,29,37,14,24,32,30,29,32,44,29,36,28,24,19,25,28,25,28,27,47,15,3,3,Uttar Pradesh-Ballia Nagar,Ballia Nagar
15,NOTA,None of the Above,34,39,44,34,41,33,26,29,22,37,53,25,41,33,54,30,31,33,34,46,30,24,32,40,28,51,37,31,47,2,4,3,Uttar Pradesh-Ballia Nagar,Ballia Nagar
