O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,KETAKEE SINGH,Bharatiya Janata Party,3098,4160,2600,2905,2984,2378,2319,3238,2734,2500,3546,3595,2882,2680,3361,4293,4141,3418,3334,3117,3114,3311,2638,2592,3282,3719,3093,3363,3475,3248,3388,3658,117,406,Uttar Pradesh-Bansdih,Bansdih
2,PUNEET,Indian National Congress,62,92,102,58,113,90,107,79,120,72,94,132,96,71,87,132,109,107,114,204,119,82,73,128,105,114,638,391,137,121,97,262,1,11,Uttar Pradesh-Bansdih,Bansdih
3,MANTI,Bahujan Samaj Party,320,98,369,383,419,478,432,857,431,822,374,352,364,256,168,527,140,209,266,276,332,251,298,559,221,145,134,333,383,209,155,194,0,6,Uttar Pradesh-Bansdih,Bansdih
4,RAM GOVIND,Samajwadi Party,2612,2174,2598,2485,2867,3099,3499,2869,3465,2860,2646,2272,2165,3028,2160,2104,2421,2176,2298,1997,2455,3029,2665,3005,2538,2262,2073,2053,2689,2533,1906,2027,79,121,Uttar Pradesh-Bansdih,Bansdih
5,LAKSHMAN,Communist Party of India,45,50,49,70,73,56,66,37,44,51,49,45,25,73,89,61,47,80,51,59,54,46,34,70,66,67,65,79,85,68,109,108,0,10,Uttar Pradesh-Bansdih,Bansdih
6,AJAY SHANKAR,Vikassheel Insaan Party,28,121,122,139,535,129,162,76,87,168,73,310,141,297,601,78,154,471,95,228,96,27,42,176,268,76,79,169,202,308,1510,606,0,58,Uttar Pradesh-Bansdih,Bansdih
7,DAYASHANKER VERMA,Jan Adhikar Party,7,13,20,39,16,41,69,177,7,4,21,10,5,102,20,5,13,30,23,24,74,10,42,42,64,14,92,27,32,29,25,23,0,7,Uttar Pradesh-Bansdih,Bansdih
8,MAMATA,Swadesh Jan Sewak Party,10,7,9,14,18,14,12,10,6,27,16,12,9,10,17,10,12,20,11,12,13,12,8,10,11,11,8,13,9,15,24,16,2,3,Uttar Pradesh-Bansdih,Bansdih
9,SUSHANT,Aam Aadmi Party,12,14,17,16,38,15,11,9,10,18,6,14,11,38,39,32,35,25,97,16,24,11,8,12,21,8,9,12,10,15,32,17,0,5,Uttar Pradesh-Bansdih,Bansdih
10,SANGRAM SINGH TOMAR,Lok Janshakti Party(Ram Vilas),15,5,12,26,15,16,7,12,26,16,13,24,10,19,27,10,11,24,13,18,16,12,9,8,13,11,4,13,21,14,22,23,0,1,Uttar Pradesh-Bansdih,Bansdih
11,PRAMOD PASWAN,Independent,29,20,18,28,24,26,32,10,11,33,13,12,9,27,14,17,26,28,8,20,22,25,10,21,18,15,13,21,38,31,14,28,1,4,Uttar Pradesh-Bansdih,Bansdih
12,VINOD KUMAR VERMA,Independent,10,4,10,13,20,23,19,16,11,15,7,9,8,10,16,14,10,18,14,18,19,13,16,23,18,12,8,27,38,20,18,16,0,3,Uttar Pradesh-Bansdih,Bansdih
13,SWAMI NATH SAHANI,Independent,18,13,24,28,40,27,25,26,29,13,22,19,15,27,26,15,30,31,22,23,23,25,13,28,17,19,22,26,18,27,21,27,1,1,Uttar Pradesh-Bansdih,Bansdih
14,NOTA,None of the Above,68,73,62,86,71,38,58,48,57,44,44,54,60,59,73,68,60,68,52,51,63,70,40,77,62,51,66,64,75,77,66,85,0,13,Uttar Pradesh-Bansdih,Bansdih
