O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,POONAM,Indian National Congress,63,60,88,69,73,60,181,74,51,47,57,54,37,55,76,51,58,45,59,44,53,46,61,74,42,65,63,49,46,83,39,43,59,4,9,1,Uttar Pradesh-Bansgaon,Bansgaon
2,RAMNAYAN AZAD,Bahujan Samaj Party,1144,824,733,773,1038,1448,658,906,1086,1215,1025,1018,1135,1700,971,491,1317,971,1168,1353,1494,1228,1251,1466,915,1766,1068,1321,946,1245,860,1083,1152,197,48,3,Uttar Pradesh-Bansgaon,Bansgaon
3,DR. VIMLESH PASWAN,Bharatiya Janata Party,2856,2729,2561,2994,2591,2506,3607,2323,2027,2139,3267,2929,2524,2346,3635,3017,2039,2544,2426,2366,2085,2349,2195,2860,2517,1939,2439,2424,2666,2874,2893,2964,2191,425,237,246,Uttar Pradesh-Bansgaon,Bansgaon
4,DR. SANJAY KUMAR,Samajwadi Party,1339,1083,1634,1727,1817,2067,2122,1373,1938,1358,2222,1895,1422,1793,1603,1182,1872,1524,1520,1586,1654,1821,1713,1333,1464,2110,1544,927,1580,1842,1366,1685,1514,430,193,75,Uttar Pradesh-Bansgaon,Bansgaon
5,MURLI,"Rashtrawadi Party of India,",18,16,15,24,14,14,36,34,14,17,19,29,15,29,24,18,27,17,28,17,15,9,11,12,13,19,13,18,19,29,20,7,21,8,10,0,Uttar Pradesh-Bansgaon,Bansgaon
6,ROODAL,Jan Adhikar Party,41,12,15,22,48,63,116,50,31,147,77,13,23,21,28,21,17,31,16,134,33,66,95,26,30,9,12,95,19,32,18,11,13,1,1,1,Uttar Pradesh-Bansgaon,Bansgaon
7,LALVACHAN,Aam Aadmi Party,37,28,28,24,22,25,21,35,18,22,27,21,11,29,44,11,26,27,22,34,31,22,27,29,25,15,22,26,39,193,34,25,35,10,4,5,Uttar Pradesh-Bansgaon,Bansgaon
8,VIJAY PASWAN,Vikassheel Insaan Party,33,81,21,29,28,22,138,280,15,16,31,14,50,34,62,26,23,18,41,34,29,20,17,24,34,33,26,22,47,38,82,24,38,4,2,0,Uttar Pradesh-Bansgaon,Bansgaon
9,SHRVAN KUMAR NIRALA,Independent,25,21,40,32,20,60,51,35,19,27,52,35,32,54,43,19,37,27,32,24,68,20,21,29,22,40,26,27,35,32,43,35,53,6,2,0,Uttar Pradesh-Bansgaon,Bansgaon
10,NOTA,None of the Above,43,39,39,52,29,40,52,44,37,43,46,34,38,48,50,47,58,41,35,50,25,43,36,41,42,43,61,39,50,51,47,53,43,8,6,3,Uttar Pradesh-Bansgaon,Bansgaon
