O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,DR ARUN KUMAR,Bharatiya Janata Party,4193,3713,4200,5609,5325,2572,2769,4043,5411,5444,4687,5982,3356,4670,3121,2656,3848,1345,5525,4140,3741,1982,2288,4609,4421,4790,5385,3789,3211,3932,3638,3464,294,Uttar Pradesh-Bareilly,Bareilly
2,KRISHNA KANT SHARMA,Indian National Congress,50,62,62,163,58,48,65,95,83,92,92,69,63,46,69,43,46,42,65,50,72,51,120,92,66,75,55,46,71,82,120,80,3,Uttar Pradesh-Bareilly,Bareilly
3,BRAHAMA NAND SHARMA,Bahujan Samaj Party,206,144,327,85,17,24,30,37,164,146,85,47,561,624,252,51,117,232,508,292,183,269,440,456,178,113,441,200,208,135,160,128,3,Uttar Pradesh-Bareilly,Bareilly
4,RAJESH KUMAR AGARWAL,Samajwadi Party,1981,3084,2920,1962,2400,4701,4383,2962,540,659,1652,792,3090,963,2763,4440,3525,6093,1461,2686,2572,6010,3121,2173,3049,2042,3254,4574,4760,3028,3953,4134,254,Uttar Pradesh-Bareilly,Bareilly
5,AMIT KHANDELWAL,Jan Shakti Ekta Party,8,16,6,13,15,24,19,7,1,4,7,2,19,7,14,23,22,25,11,16,13,29,11,16,9,5,22,22,23,19,17,20,0,Uttar Pradesh-Bareilly,Bareilly
6,KRISHNA BHARDWAJ,Aam Aadmi Party,21,17,9,11,12,9,13,15,28,35,29,44,18,29,9,4,8,10,23,20,28,55,14,39,17,16,25,13,17,28,63,26,1,Uttar Pradesh-Bareilly,Bareilly
7,JAVED HUSAIN,Mera Adhikaar Rashtriya Dal,1,3,12,1,1,4,1,1,1,0,4,2,7,4,4,2,3,1,3,1,1,0,3,5,2,4,8,6,5,3,2,8,0,Uttar Pradesh-Bareilly,Bareilly
8,RAFIA SHABNAM,Aazad Samaj Party (Kanshi Ram),5,7,5,6,4,10,4,12,2,2,5,0,9,3,6,6,7,12,6,6,8,37,9,12,21,10,13,11,3,11,4,7,0,Uttar Pradesh-Bareilly,Bareilly
9,SHAHEEM KHAN URF RAJU,All India Majlis-E-Ittehadul Muslimeen,8,39,10,22,20,35,35,19,1,2,22,0,67,17,71,92,54,65,19,18,71,171,38,41,45,35,64,185,261,67,56,89,3,Uttar Pradesh-Bareilly,Bareilly
10,SAFIYA KHATOON,VANCHITSAMAJ INSAAF PARTY,2,3,2,4,1,10,1,3,3,1,3,7,9,7,5,8,7,14,13,7,7,12,9,10,9,6,16,9,11,8,7,6,0,Uttar Pradesh-Bareilly,Bareilly
11,RAKESH AGARWAL ADVOCATE,Independent,4,5,4,5,3,5,3,5,3,2,4,4,11,4,5,8,10,8,13,5,3,9,7,15,10,7,45,12,10,8,12,8,0,Uttar Pradesh-Bareilly,Bareilly
12,NOTA,None of the Above,26,31,27,25,32,33,24,30,44,51,35,62,45,19,36,33,34,38,40,28,32,22,34,37,44,42,65,46,33,38,42,37,2,Uttar Pradesh-Bareilly,Bareilly
