O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,DEEPAK KUMAR MISHR,Bharatiya Janata Party,3692,3179,3085,3607,3024,2459,3045,3330,3975,2829,3043,3027,2825,2539,2666,3616,4516,2616,3237,5188,3174,2306,4030,3168,2697,3029,1349,Uttar Pradesh-Barhaj,Barhaj
2,MURLI MANOHAR JAISWAL,Samajwadi Party,2218,2352,2773,2036,2734,2057,3248,2523,2612,2564,2782,2222,2987,3696,2650,3281,1590,2169,4033,2283,2430,2593,1452,2460,2336,2659,1367,Uttar Pradesh-Barhaj,Barhaj
3,RAMJEE GIRI,Indian National Congress,91,113,72,61,89,64,90,80,59,69,76,49,61,55,81,85,85,66,45,49,104,153,51,125,104,60,23,Uttar Pradesh-Barhaj,Barhaj
4,VINAY LALSAHAB TIWARI,Bahujan Samaj Party,634,629,1031,553,748,735,853,715,668,1131,1148,1198,769,1172,1080,847,1217,1461,245,151,1002,1746,446,654,918,1123,271,Uttar Pradesh-Barhaj,Barhaj
5,ISHWAR CHAND VISHWAKARAMA,Bahujan Mukti Party,14,20,30,17,17,7,13,20,12,27,20,39,17,19,10,10,16,21,10,11,12,23,11,14,13,18,7,Uttar Pradesh-Barhaj,Barhaj
6,MAHANTH,Aam Janta Party (India),5,6,8,3,8,5,10,8,4,19,4,10,5,15,8,23,9,4,1,7,8,6,4,2,13,10,1,Uttar Pradesh-Barhaj,Barhaj
7,RAMIKBAL,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),8,13,14,9,5,5,17,3,10,11,7,9,5,5,9,8,6,4,4,8,7,6,6,7,4,7,1,Uttar Pradesh-Barhaj,Barhaj
8,RAMASHRAY,Moderate Party,15,20,22,23,23,12,10,23,14,28,16,22,15,13,14,18,19,19,8,15,10,18,21,10,15,25,7,Uttar Pradesh-Barhaj,Barhaj
9,SUDHIR KUMAR VISHWAKARMA,Right to Recall Party,18,13,11,16,7,10,15,15,8,24,16,16,9,15,6,19,12,13,5,13,12,13,18,10,16,20,14,Uttar Pradesh-Barhaj,Barhaj
10,KRISHNCHANDRA DIKSHIT ADVOCATE,Independent,19,13,7,18,17,19,11,14,13,22,21,17,12,13,13,18,22,24,15,12,12,10,9,10,25,24,10,Uttar Pradesh-Barhaj,Barhaj
11,BHASKAR MISHRA,Independent,16,13,20,12,12,8,17,19,15,26,14,17,12,19,17,15,15,6,6,30,5,6,15,10,11,11,5,Uttar Pradesh-Barhaj,Barhaj
12,BIJAY SHANKER,Hindustan Janmorcha,31,17,25,40,30,25,42,37,24,30,35,39,29,45,40,31,14,26,18,25,19,34,24,17,24,33,12,Uttar Pradesh-Barhaj,Barhaj
13,NOTA,None of the Above,65,64,73,102,62,64,72,71,84,92,68,64,56,54,39,82,105,62,47,109,49,66,86,51,71,69,18,Uttar Pradesh-Barhaj,Barhaj
