O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,AHASAN ALI,Indian National Congress,57,76,66,239,58,42,75,46,45,54,41,32,37,51,27,45,35,40,43,23,32,38,32,35,31,31,28,31,26,30,Uttar Pradesh-Barhapur,Barhapur
2,KAPIL KUMAR,Samajwadi Party,1701,4654,2923,2413,2478,3897,1539,2867,3496,1450,3172,963,2999,4511,2417,3298,3815,6501,2993,1999,4342,5451,2377,2088,1789,1759,2811,1842,1940,892,Uttar Pradesh-Barhapur,Barhapur
3,KUNWAR SUSHANT SINGH,Bharatiya Janata Party,5355,1940,3594,3440,3011,2294,4265,2554,1867,3601,2767,2833,2588,2368,3546,3026,3541,897,3897,4266,2901,2327,4154,3617,4531,4828,3532,4608,3874,3635,Uttar Pradesh-Barhapur,Barhapur
4,MOHAMMED GHAZI,Bahujan Samaj Party,1152,747,955,1403,2055,1400,1627,1998,2554,2028,936,2757,619,1077,1660,838,1068,1311,1740,1233,1053,1107,1998,2473,1364,1832,1122,2769,2098,1471,Uttar Pradesh-Barhapur,Barhapur
5,IJAHAR,Aazad Samaj Party (Kanshi Ram),22,71,35,23,56,57,46,35,54,42,23,34,13,15,35,11,7,6,14,15,11,7,24,35,20,27,39,49,16,13,Uttar Pradesh-Barhapur,Barhapur
6,KHOOB SINGH,Pichhra Samaj Party,9,6,16,2,13,7,12,7,15,15,8,13,4,1,7,7,5,0,12,4,3,6,4,9,3,18,7,36,3,0,Uttar Pradesh-Barhapur,Barhapur
7,CHANDRAPAL,Loktanter Suraksha Party,11,21,28,13,13,16,61,44,34,34,118,8,18,25,16,12,10,8,20,7,24,13,21,18,13,9,17,17,11,10,Uttar Pradesh-Barhapur,Barhapur
8,NIRMAL MISHRA,Aam Aadmi Party,17,3,13,11,10,7,9,9,12,18,10,15,11,6,24,45,8,20,39,33,9,7,9,10,6,6,27,22,5,12,Uttar Pradesh-Barhapur,Barhapur
9,PADAM SINGH,Jan Adhikar Party,7,7,8,12,12,12,7,8,17,13,11,13,9,6,14,12,9,9,13,6,7,3,8,10,11,8,10,15,5,6,Uttar Pradesh-Barhapur,Barhapur
10,MOHIUDDIN ANSARI,All India Majlis-E-Ittehadul Muslimeen,11,34,40,33,70,58,21,41,92,42,46,22,43,89,9,12,25,49,38,25,39,31,18,17,11,18,10,24,46,3,Uttar Pradesh-Barhapur,Barhapur
11,RAJIYA,Bhartiya Jan Samman Party,19,7,13,15,17,15,9,12,22,12,4,21,5,14,13,14,3,3,7,3,4,2,3,11,10,14,19,24,11,7,Uttar Pradesh-Barhapur,Barhapur
12,HIRDESH KUMAR,Peoples Party of India (Democratic),37,7,34,17,44,46,27,37,32,37,22,61,18,13,29,24,16,7,20,26,19,13,22,32,20,25,23,43,19,21,Uttar Pradesh-Barhapur,Barhapur
13,ANIL KUMAR,Independent,46,14,29,17,88,37,20,17,13,15,16,82,14,19,53,18,7,8,148,15,10,25,15,19,18,16,22,22,18,17,Uttar Pradesh-Barhapur,Barhapur
14,SHABNAM NAZ,Independent,25,12,15,13,31,24,15,11,14,15,15,19,9,17,15,18,15,14,29,7,15,13,16,10,9,15,9,12,11,10,Uttar Pradesh-Barhapur,Barhapur
15,NOTA,None of the Above,45,37,39,35,36,25,29,30,38,29,24,35,18,34,30,30,29,15,40,25,12,22,20,22,15,34,29,28,25,18,Uttar Pradesh-Barhapur,Barhapur
