O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,JAYDRATH URF PRAVAKTANAND,Bharatiya Janata Party,5713,5392,8077,7181,6840,6745,6967,6613,5788,5639,6482,6398,6624,4313,3444,643,4237,6174,4456,5147,5732,6615,5712,5357,5588,5126,4495,Uttar Pradesh-Barkhera,Barkhera
2,MOHAN SWAROOP,Bahujan Samaj Party,298,750,98,150,336,352,615,234,295,266,265,356,445,370,77,112,173,336,339,222,221,364,903,224,674,386,460,Uttar Pradesh-Barkhera,Barkhera
3,HARPREET PAL SINGH,Indian National Congress,87,52,67,33,65,95,62,246,75,94,90,95,68,59,92,132,170,105,38,45,121,85,99,81,164,312,63,Uttar Pradesh-Barkhera,Barkhera
4,HEMRAJ VERMA,Samajwadi Party,2932,2870,1403,2113,2776,1925,1814,1528,2696,1603,1562,1768,1781,3462,4800,7395,3166,2070,2223,2154,2200,2187,1848,3159,3372,3150,1703,Uttar Pradesh-Barkhera,Barkhera
5,ASHISH GUPTA,Aam Aadmi Party,20,17,10,13,10,14,13,13,20,12,17,14,15,14,41,60,21,13,11,14,18,10,18,30,31,20,8,Uttar Pradesh-Barkhera,Barkhera
6,KISHAN LAL,Bharatiya Subhash Sena,10,17,4,44,29,17,7,14,15,5,14,6,9,10,3,8,8,10,9,5,6,8,15,5,19,11,16,Uttar Pradesh-Barkhera,Barkhera
7,BRIJ LAL,Bahujan Mukti Party,8,9,4,10,8,15,8,7,7,4,10,9,7,10,10,5,11,6,10,4,13,12,23,16,18,15,8,Uttar Pradesh-Barkhera,Barkhera
8,RAM KUMAR,Sabka Dal United,7,5,5,12,7,11,7,12,7,5,13,13,13,14,7,4,28,12,8,8,9,10,18,5,16,12,9,Uttar Pradesh-Barkhera,Barkhera
9,SARVESH MUNI PATHRIYA,Bharatiya Jan Jagriti Party,25,15,17,19,20,17,28,17,13,15,21,20,35,14,4,5,25,19,13,15,19,20,20,10,26,22,16,Uttar Pradesh-Barkhera,Barkhera
10,NOTA,None of the Above,47,56,56,90,78,66,81,60,66,54,73,85,83,87,44,31,67,65,54,62,72,78,104,51,101,72,78,Uttar Pradesh-Barkhera,Barkhera
