O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,state_city,constituency_from_link
1,Alok Ranjan Verma,Bahujan Samaj Party,1090,1510,1236,1176,1436,1428,903,780,964,553,201,689,205,384,514,215,343,329,625,1159,1904,1619,1618,1262,973,1049,1545,1669,1322,965,690,1160,1695,1479,1032,383,47,25,Uttar Pradesh-Basti Sadar,Basti Sadar
2,Dayaram Chaudhary,Bharatiya Janata Party,1850,2886,2263,1950,1734,2438,2768,2762,2728,2710,2987,2484,2445,3182,4038,2775,2216,1946,1459,2552,2308,2393,2082,2041,1874,2626,2032,2290,2020,1986,2053,1999,2503,2118,2478,431,193,206,Uttar Pradesh-Basti Sadar,Basti Sadar
3,DEVENDRA KUMAR SRIVASTAVA,Indian National Congress,102,104,138,134,72,73,80,150,112,158,434,200,93,73,112,89,171,170,88,109,135,105,128,79,60,78,94,82,78,80,82,54,97,117,106,18,13,3,Uttar Pradesh-Basti Sadar,Basti Sadar
4,Pradeep Kumar,Bahujan Mukti Party,7,9,8,5,2,5,9,7,14,12,7,3,3,3,5,1,5,3,20,6,12,6,6,4,10,3,9,5,10,9,13,14,12,6,9,2,0,0,Uttar Pradesh-Basti Sadar,Basti Sadar
5,Ramesh Kumar Singh,Aam Aadmi Party,17,15,20,8,13,23,17,15,22,16,7,14,12,11,10,16,10,6,14,14,20,13,9,18,12,15,8,8,14,25,15,14,18,9,11,9,2,2,Uttar Pradesh-Basti Sadar,Basti Sadar
6,Ram Prasad,Janhit Kisan Party,21,19,19,20,6,8,16,12,17,12,6,9,5,17,7,6,6,4,10,14,11,11,19,12,5,17,12,10,13,22,16,18,18,13,9,4,0,0,Uttar Pradesh-Basti Sadar,Basti Sadar
7,Mahendra Nath Yadav,Samajwadi Party,2266,2143,2399,2606,2573,1443,3019,2908,2322,2427,1515,2138,1725,2555,1940,2661,3405,2431,2322,1837,2097,2463,2573,2384,2158,2286,2118,1430,2323,3486,3163,3225,2910,2196,2316,701,60,131,Uttar Pradesh-Basti Sadar,Basti Sadar
8,Babita,Independent,19,24,24,13,13,20,35,23,23,9,4,7,11,17,10,7,7,2,4,25,22,21,16,24,16,28,14,14,19,37,28,23,16,22,9,5,0,1,Uttar Pradesh-Basti Sadar,Basti Sadar
9,Ambrish Dev Gupta 'Sonu',Bharat Mahaparivar Party,39,46,25,47,22,17,37,50,43,28,23,18,17,43,29,22,13,11,17,30,26,40,32,39,38,41,34,37,33,49,58,25,56,52,31,8,1,3,Uttar Pradesh-Basti Sadar,Basti Sadar
10,Gyan Prakash Tripathi,Atal Janshakti Party,20,22,17,14,9,17,23,15,20,15,5,7,10,14,10,5,8,6,11,8,13,21,16,20,17,11,20,13,24,31,18,17,22,15,17,3,0,0,Uttar Pradesh-Basti Sadar,Basti Sadar
11,Arbabul Haq,Aazad Samaj Party (Kanshi Ram),15,26,20,10,9,6,10,7,21,8,4,7,7,10,9,6,7,5,7,9,9,9,18,9,15,11,10,6,14,18,24,17,17,17,14,2,0,0,Uttar Pradesh-Basti Sadar,Basti Sadar
12,NOTA,None of the Above,35,43,40,36,38,35,43,37,31,42,30,22,24,43,32,19,23,16,25,31,41,43,32,40,34,53,53,51,43,46,63,34,41,45,34,11,2,1,Uttar Pradesh-Basti Sadar,Basti Sadar
