O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,Geeta,Indian National Congress,38,64,49,46,69,48,57,59,25,42,62,75,49,57,36,53,50,74,30,46,40,38,48,60,44,63,57,46,42,48,Uttar Pradesh-Belthara Road,Belthara Road 
2,Chhathu Ram,Bharatiya Janata Party,2793,2179,1954,3738,3443,2572,3093,2687,1826,3119,2002,2456,2419,2510,1570,1842,2408,2290,1734,2075,1839,2466,1975,1717,1947,2823,3230,3424,2361,2574,Uttar Pradesh-Belthara Road,Belthara Road 
3,PRAVEEN PRAKASH,Bahujan Samaj Party,928,950,855,503,1063,746,1003,1138,1032,1556,1266,1170,1181,1239,1973,1429,1666,1164,1525,2113,1209,1420,1617,1381,1547,1524,1370,1607,1085,1262,Uttar Pradesh-Belthara Road,Belthara Road 
4,AKHILESH KUMAR,Lok Janshakti Party(Ram Vilas),15,12,11,6,10,13,14,18,18,21,17,21,21,25,20,20,40,16,14,21,17,20,18,8,17,14,17,21,14,17,Uttar Pradesh-Belthara Road,Belthara Road 
5,Kundan Kanaujiya,Janlok Vikas Party,4,7,1,2,5,3,11,5,5,2,4,4,4,5,2,7,7,9,5,7,9,9,2,1,12,9,8,7,15,5,Uttar Pradesh-Belthara Road,Belthara Road 
6,Ramlal,Jan Adhikar Party,81,205,78,33,96,23,167,127,37,82,76,50,49,37,34,61,35,69,36,53,24,64,70,92,144,56,58,31,50,39,Uttar Pradesh-Belthara Road,Belthara Road 
7,Hansu Ram,Suheldev Bharatiya Samaj Party,2338,2743,2442,2411,3062,2563,2443,2296,3066,2400,2798,2702,2408,1756,2951,3352,2159,2902,3175,2204,3046,1960,2971,2767,2574,2473,2148,2706,2722,2659,Uttar Pradesh-Belthara Road,Belthara Road 
8,Gopal,Independent,21,20,16,14,20,19,21,18,20,24,23,23,25,12,17,21,28,24,23,27,22,11,19,14,27,22,31,25,35,13,Uttar Pradesh-Belthara Road,Belthara Road 
9,Ganga,Independent,19,19,14,7,10,14,11,15,17,19,15,10,16,15,10,17,11,12,6,14,16,11,7,8,10,14,28,11,14,14,Uttar Pradesh-Belthara Road,Belthara Road 
10,Nirbhay,Independent,11,17,10,7,12,11,14,8,9,15,21,15,10,11,13,7,21,8,11,12,20,11,6,10,11,15,21,14,13,14,Uttar Pradesh-Belthara Road,Belthara Road 
11,Bikau,Independent,9,10,5,9,10,7,2,11,4,15,7,15,9,12,8,7,11,3,6,8,9,7,5,5,11,10,6,5,9,4,Uttar Pradesh-Belthara Road,Belthara Road 
12,SHIMON PRAKASH,Independent,20,17,10,10,12,7,12,22,16,23,11,17,23,19,24,22,23,9,10,33,21,15,12,13,18,13,13,16,16,14,Uttar Pradesh-Belthara Road,Belthara Road 
13,Shoshila,Independent,29,20,29,10,28,18,24,24,24,27,39,34,19,29,16,23,19,18,13,22,26,19,12,7,19,21,26,17,14,16,Uttar Pradesh-Belthara Road,Belthara Road 
14,NOTA,None of the Above,39,36,26,32,41,35,44,44,31,46,44,40,35,47,42,54,56,31,32,46,96,28,27,20,33,44,53,39,33,44,Uttar Pradesh-Belthara Road,Belthara Road 
