O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,AJAY,Bahujan Samaj Party,735,628,519,954,972,778,676,612,879,893,546,687,214,809,605,555,595,554,523,685,844,832,483,495,444,384,463,715,396,Uttar Pradesh-Bhatpar Rani,Bhatpar Rani
2,ASHUTOSH UPADHYAY,Samajwadi Party,2934,2400,2508,2040,2436,1911,2740,3141,2267,2662,2248,2383,3515,2736,2626,2324,2362,2398,2825,2801,2121,2192,2240,2346,2821,3043,2424,2580,1566,Uttar Pradesh-Bhatpar Rani,Bhatpar Rani
3,KESHAV CHAND YADAV,Indian National Congress,194,114,165,95,120,133,275,403,93,83,97,104,76,101,175,176,168,93,240,99,181,233,108,264,157,233,101,130,52,Uttar Pradesh-Bhatpar Rani,Bhatpar Rani
4,SABHAKUNWAR,Bharatiya Janata Party,3514,2484,3040,3600,3849,3680,2696,2752,2794,2513,2358,2678,2869,2826,2983,3408,3096,3419,3327,3729,3788,3431,3820,2923,3092,3403,3542,3630,1648,Uttar Pradesh-Bhatpar Rani,Bhatpar Rani
5,AJIMULLAH,Jan Adhikar Party,123,52,167,97,71,71,48,72,59,94,54,42,54,76,79,70,48,94,60,88,88,76,93,61,74,74,62,64,38,Uttar Pradesh-Bhatpar Rani,Bhatpar Rani
6,ANIL,Aam Aadmi Party,20,9,15,16,26,19,9,10,12,8,10,17,12,10,7,11,8,13,10,8,17,45,15,13,18,11,16,13,6,Uttar Pradesh-Bhatpar Rani,Bhatpar Rani
7,DAYANAND,Apna Dal United Party,22,14,17,21,26,17,19,24,11,8,19,8,9,18,15,13,19,12,15,15,22,31,21,7,25,28,15,28,13,Uttar Pradesh-Bhatpar Rani,Bhatpar Rani
8,DURGESH KUMAR,Bharatiya Jan Jagriti Party,26,9,20,27,32,29,17,15,20,17,25,14,14,16,21,21,18,31,24,35,25,20,18,19,22,35,19,21,10,Uttar Pradesh-Bhatpar Rani,Bhatpar Rani
9,RAMASHRAY RAJBHAR,Janata Dal (United),25,14,20,19,14,18,20,12,9,9,24,5,44,11,23,16,15,12,9,19,13,13,14,14,19,16,11,26,23,Uttar Pradesh-Bhatpar Rani,Bhatpar Rani
10,SHRIRAM KUSHWAHA,Communist Party of India (Marxist-Leninist) (Liberation),31,19,34,41,36,29,17,41,29,22,38,19,25,27,28,48,30,41,48,41,35,37,23,54,42,44,37,33,17,Uttar Pradesh-Bhatpar Rani,Bhatpar Rani
11,NOTA,None of the Above,72,81,65,66,68,71,39,51,43,39,69,28,56,49,49,33,41,46,62,68,42,58,60,62,55,56,58,67,31,Uttar Pradesh-Bhatpar Rani,Bhatpar Rani
