O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,Alimuddin,Bahujan Samaj Party,464,303,390,516,757,803,539,489,651,486,619,601,299,508,1000,818,584,562,626,1066,766,899,1525,878,1566,1098,517,914,243,535,434,13,Uttar Pradesh-Bhinga,Bhinga
2,Indrani Devi,Samajwadi Party,3090,4266,4025,3579,3038,2612,3750,4758,3463,2578,3348,3746,4374,4195,3429,3393,3349,4636,4300,4071,2860,2904,2291,2871,2800,2296,3103,3182,2594,2569,1577,190,Uttar Pradesh-Bhinga,Bhinga
3,Gajala Chaudhary,Indian National Congress,92,88,86,82,94,92,91,129,77,82,88,101,108,86,115,98,87,123,111,128,107,78,82,121,125,116,93,207,109,90,41,3,Uttar Pradesh-Bhinga,Bhinga
4,Padam Sen Chaudhary,Bharatiya Janata Party,3732,3288,3202,3399,3676,3740,2582,2127,3300,3717,3336,3115,2733,2668,3762,3315,2753,1518,1556,2521,3058,3192,2709,3139,2993,2468,2571,2134,2961,2960,1503,97,Uttar Pradesh-Bhinga,Bhinga
5,Aasiya,All India Majlis-E-Ittehadul Muslimeen,138,114,110,120,75,98,190,134,140,109,139,144,116,141,80,101,90,371,192,140,137,101,92,125,103,85,141,219,122,142,56,6,Uttar Pradesh-Bhinga,Bhinga
6,Prabhakar Pandey,Bahujan Maha Party,22,22,16,28,14,31,25,22,21,21,20,26,15,13,15,17,29,23,24,28,36,28,21,38,32,30,24,31,18,22,14,4,Uttar Pradesh-Bhinga,Bhinga
7,Manoj Kumar Pathak,Lok Janshakti Party(Ram Vilas),15,13,19,15,8,20,25,14,21,15,25,8,5,13,23,15,10,16,14,19,25,23,10,26,19,20,19,24,21,19,2,1,Uttar Pradesh-Bhinga,Bhinga
8,Ram Kishor,Vikassheel Insaan Party,46,13,16,11,18,13,12,13,11,14,26,24,10,15,22,9,25,32,11,15,29,22,17,37,25,20,18,14,21,22,34,0,Uttar Pradesh-Bhinga,Bhinga
9,Ram Rup,Samyak Party,22,16,18,8,19,19,18,16,17,10,13,11,9,8,23,10,14,26,17,22,34,27,20,31,22,19,13,17,21,19,23,1,Uttar Pradesh-Bhinga,Bhinga
10,Sunil Kumar,Aam Aadmi Party,22,42,43,23,17,15,20,17,18,15,22,20,11,16,27,19,17,34,21,20,36,21,22,34,31,21,17,20,16,26,11,1,Uttar Pradesh-Bhinga,Bhinga
11,Jhaloose,Independent,23,27,30,23,10,31,27,20,19,18,23,16,15,22,21,23,23,23,17,25,43,26,27,40,30,18,21,32,20,22,10,0,Uttar Pradesh-Bhinga,Bhinga
12,Moti,Independent,42,44,42,32,30,35,47,40,29,24,39,33,20,27,34,26,40,44,42,40,56,33,37,79,50,31,45,39,40,53,22,3,Uttar Pradesh-Bhinga,Bhinga
13,NOTA,None of the Above,146,87,116,103,127,117,141,114,101,90,142,106,52,80,120,82,106,155,129,105,118,113,91,204,132,125,132,129,118,99,65,5,Uttar Pradesh-Bhinga,Bhinga
