O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,Archana Rathaur,Indian National Congress,66,76,86,76,44,93,93,157,373,92,94,97,70,61,54,46,24,47,54,25,46,42,39,52,47,46,40,Uttar Pradesh-Bhojpur,Bhojpur
2,Arshad Jamal Siddiqui,Samajwadi Party,3390,3776,2806,2573,1862,1696,1402,1296,2325,2501,2621,2124,2471,3545,3355,2535,1242,2657,4051,2237,3365,3732,4360,4659,1772,1741,1899,Uttar Pradesh-Bhojpur,Bhojpur
3,Alok Verma,Bahujan Samaj Party,645,321,579,445,406,599,418,752,359,497,663,785,567,321,348,856,1101,722,699,565,796,286,224,274,687,768,955,Uttar Pradesh-Bhojpur,Bhojpur
4,Nagendra Singh Rathour,Bharatiya Janata Party,3226,4197,3179,3057,3970,4162,4535,4718,2867,3917,3575,4667,4313,2828,3287,3982,3722,3847,3030,4458,3796,2916,1509,2936,5835,4066,3044,Uttar Pradesh-Bhojpur,Bhojpur
5,Talib Siddiqui,All India Majlis-E-Ittehadul Muslimeen,60,43,31,89,62,43,150,95,80,57,275,321,52,83,182,96,81,71,107,57,177,135,1090,338,39,64,37,Uttar Pradesh-Bhojpur,Bhojpur
6,Ramteerth,Bharatiya Subhash Sena,7,5,8,6,8,6,10,13,7,5,17,9,7,3,11,13,17,4,10,2,4,6,15,6,9,9,6,Uttar Pradesh-Bhojpur,Bhojpur
7,Rahul,Aam Aadmi Party,10,13,5,10,14,6,3,9,9,12,21,17,9,8,6,7,2,7,9,7,5,3,6,6,9,7,3,Uttar Pradesh-Bhojpur,Bhojpur
8,Alok,Independent,7,6,40,9,12,8,12,11,4,15,5,15,7,8,9,13,17,9,10,12,10,6,13,8,10,10,7,Uttar Pradesh-Bhojpur,Bhojpur
9,Ajaj Ahmad,Independent,21,11,24,22,17,23,20,17,12,35,20,41,18,14,10,17,24,13,14,19,18,13,15,16,35,35,13,Uttar Pradesh-Bhojpur,Bhojpur
10,Rejvan,Independent,10,8,8,6,15,7,12,10,8,16,7,21,9,11,9,18,21,11,18,10,9,7,10,11,16,30,14,Uttar Pradesh-Bhojpur,Bhojpur
11,Shailendra Singh,Independent,10,22,19,34,25,21,15,13,13,26,22,18,21,13,26,14,13,17,27,15,19,14,23,35,24,12,14,Uttar Pradesh-Bhojpur,Bhojpur
12,NOTA,None of the Above,27,28,37,29,46,50,31,19,23,38,33,47,32,35,33,32,44,37,48,37,28,30,34,41,36,42,29,Uttar Pradesh-Bhojpur,Bhojpur
