O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,Ashok Kumar,Bahujan Samaj Party,417,430,469,243,594,259,292,372,376,451,317,217,129,508,472,522,213,299,286,529,529,811,481,68,1060,575,826,488,374,428,449,446,119,2,Uttar Pradesh-Bhongaon,Bhongaon
2,Alok Kumar Shakya,Samajwadi Party,3162,2069,2617,2148,1650,1672,2436,3136,2898,2832,3927,2487,1178,2579,2796,3306,4663,2929,3829,1885,3692,4339,2663,1661,2254,2740,2777,3553,4036,2500,3480,2965,477,171,Uttar Pradesh-Bhongaon,Bhongaon
3,Mamta Rajput,Indian National Congress,39,167,36,200,63,101,185,89,74,54,68,72,92,65,49,35,34,35,31,80,52,39,48,25,45,43,68,40,29,54,51,32,9,4,Uttar Pradesh-Bhongaon,Bhongaon
4,Ram Naresh Agnihotri,Bharatiya Janata Party,2282,2621,2864,4136,3948,4233,3349,3679,2943,3095,2901,4148,4511,2522,2713,1780,1534,2897,2259,4793,2304,2132,3215,3738,3343,3350,2547,1657,2131,3403,2265,2414,886,275,Uttar Pradesh-Bhongaon,Bhongaon
5,Anita,Voters Party International,33,43,34,52,38,30,30,48,38,21,28,26,35,30,35,20,13,26,30,41,27,22,27,19,27,52,25,22,28,33,38,26,11,2,Uttar Pradesh-Bhongaon,Bhongaon
6,Bhupendra Singh,Jan Adhikar Party,84,105,151,61,56,44,15,242,121,158,92,40,60,228,167,32,72,195,90,12,365,147,165,20,25,121,156,319,189,56,552,58,13,0,Uttar Pradesh-Bhongaon,Bhongaon
7,Santosh Kumar Shrivashtav,Aam Aadmi Party,16,25,18,34,39,30,36,37,25,24,30,63,32,38,23,10,11,14,28,29,33,13,33,20,27,50,75,28,19,40,32,13,2,0,Uttar Pradesh-Bhongaon,Bhongaon
8,Shrey Tiwari,Independent,18,18,19,32,13,14,18,11,14,14,14,22,21,17,13,13,17,9,16,23,17,12,14,12,16,15,18,16,14,21,14,16,2,0,Uttar Pradesh-Bhongaon,Bhongaon
9,Surjeet Singh,Independent,22,22,13,23,32,39,53,27,255,50,76,160,125,47,31,23,22,36,47,60,28,180,27,7,19,47,30,19,19,19,14,19,6,22,Uttar Pradesh-Bhongaon,Bhongaon
10,NOTA,None of the Above,23,21,32,29,16,36,27,43,34,22,32,31,30,22,26,28,19,11,38,32,30,31,20,18,30,36,33,20,33,25,33,25,4,3,Uttar Pradesh-Bhongaon,Bhongaon
